uidp,deviceid
L0202100848,E8RB2SFFU
L0202104029,2WT44TVLA
L0202104126,XE7SRKRAD
L0202113802,65AYT2DNZ
L0202115751,KPXD4KUW5
L0202093440,Z27D8PFRJ
L0202120156,CKP3499ZG
L0204110727,AZM8Z4LVN
L0204114716,YV73QWL8W
L0204114450,5KX697WWH
L0204112746,RM73W2EDZ
L0204115017,VG73ZTK7T
L0206182357,65AHR5CR6
L0206184723,2WUPWCF7X
L0206185013,MW7LZEC59
L0206191622,9FDWFU63V
L0206192644,VG7VKNEEP
L0206200012,BRN7XL4T5
L0206201818,Q87QB93M4
L0206204641,Q87QZXGAW
L0207091532,NJ7BG5G53
L0207094847,U8GHDEJB9
L0207100647,2WUHXAPSZ
L0207092010,F39SY4U63
L0207093918,BRLUY77MG
L0207104220,DTQNQBRSA
L0207112033,7HBTS9FVQ
L0207113215,CKPLUDXQP
L0207115155,5KXPQQMDW
L0207120955,TH7PMMHHY
L0207172549,BRNPBU8RV
L0207175158,Z27XSJRXK
L0207192022,HVS8KESG9
L0207174137,GQRZFLPKS
L0207182631,9FB5D853B
L0207184516,7HYRK8RCQ
L0207191338,BRLL8PUNQ
L0207192535,WTJ6CLHH3
L0207200103,5KWUX6XTP
L0207200534,VGHM7T9V6
L0207202711,THF9LUSCU
L0208084657,9FB8HLZCP
L0208092426,WTJ9S9PYE
L0208094138,3MUHPZHV9
L0208102024,GQR84EAQ5
L0208103949,CKM87H9QN
L0208090030,3MUHD58B7
L0208094308,RMDWCECW9
L0208100638,RMDWZP5CN
L0208101943,65XQLF67Z
L0208103158,5KWF5LQD3
L0208111357,AZKJP2WJ2
L0208112931,LQWV2WPZV
L0208114914,THFK58UWY
L0208115851,DT98J5RJ7
L0208083436,5KW93DQSV
L0208084159,RMDWWCS7K
L0208092153,8NAMZCGY9
L0208094640,JVUPXNJDF
L0208113401,3MUH29J4G
L0208171946,2WTLZVPH2
L0208182832,RMDNNR4EN
L0208184827,Q8CGBVEGR
L0208190311,9FBNSPW2V
L0208192703,3MUWSYTA7
L0208194655,Z2MG6FST8
