occ_coarse,occ_detail
"High level staff (C-suite, managers) and business owners(both high and low)",Business Owner
"High level staff (C-suite, managers) and business owners(both high and low)",C-level staff
"High level staff (C-suite, managers) and business owners(both high and low)",Manager
"High level staff (C-suite, managers) and business owners(both high and low)","Shop owner: medical, mobile, vegetable, flower, clothes, others"
Mobile professions,Driver/Delivery
Mobile professions,Field worker
Mobile professions,Real Estate
Mobile professions,Sales person
Non-office/Manual labour jobs,Building/Construction
Non-office/Manual labour jobs,Contract workers
Non-office/Manual labour jobs,Contractor
Non-office/Manual labour jobs,Hotel/food Industry
Non-office/Manual labour jobs,Manual/Non-Office workers
Office staff (low-medium),Bank worker
Office staff (low-medium),Cashier
Office staff (low-medium),Government employee
Office staff (low-medium),Office staff (low- medium)
Office staff (low-medium),Supervisor
Other Engineers and Semi-technical,Engineer (vague)
Other Engineers and Semi-technical,Semi-Technical staff
Other Engineers and Semi-technical,Specialized engineers
Others and Retired,Other
Others and Retired,Retired
Software and IT,IT Company professional
Software and IT,Software Engineers and developers
Specialized Professions,Accountant
Specialized Professions,Doctor
Specialized Professions,Lawyer
Specialized Professions,Teacher/Lecturer
Student,Student
,No response
