occ_medium,occ_detail
Blue Collar - fixed,Cashier
Blue Collar - fixed,Field worker
Blue Collar - fixed,Hotel/food Industry
Blue Collar - fixed,Manual/Non-Office workers
Blue Collar - fixed,Office staff (low- medium)
Blue Collar - fixed,Supervisor
Blue Collar - mobile,Contract workers
Blue Collar - mobile,Driver/Delivery
Blue Collar - mobile,Field worker
Blue Collar - mobile,Government employee
Blue Collar - mobile,Manual/Non-Office workers
Blue Collar - mobile,Office staff (low- medium)
Blue Collar - mobile,Sales person
Blue Collar - mobile,Supervisor
Businees Owner (high),Building/Construction
Businees Owner (high),Business Owner
Businees Owner (high),Driver/Delivery
Businees Owner (high),Hotel/food Industry
Businees Owner (high),IT Company professional
Businees Owner (high),Real Estate
Businees Owner (high),Semi-Technical staff
Businees Owner (high),Software Engineers and developers
Contractor,Building/Construction
Contractor,Contract workers
Contractor,Contractor
Contractor,Hotel/food Industry
Miscellaneous Shop Owner (medium),Building/Construction
Miscellaneous Shop Owner (medium),Business Owner
Miscellaneous Shop Owner (medium),Hotel/food Industry
Miscellaneous Shop Owner (medium),Real Estate
Miscellaneous Shop Owner (medium),"Shop owner: medical, mobile, vegetable, flower, clothes, others"
No response,No response
Other,Other
Retired,Retired
Specialized professions,Accountant
Specialized professions,Business Owner
Specialized professions,Doctor
Specialized professions,Government employee
Specialized professions,Lawyer
Specialized professions,Manual/Non-Office workers
Specialized professions,Other
Specialized professions,Teacher/Lecturer
Student,Student
Technical/White Collar (High),Bank worker
Technical/White Collar (High),C-level staff
Technical/White Collar (High),Contract workers
Technical/White Collar (High),Engineer (vague)
Technical/White Collar (High),Government employee
Technical/White Collar (High),IT Company professional
Technical/White Collar (High),Manager
Technical/White Collar (High),Office staff (low- medium)
Technical/White Collar (High),Real Estate
Technical/White Collar (High),Sales person
Technical/White Collar (High),Semi-Technical staff
Technical/White Collar (High),Software Engineers and developers
Technical/White Collar (High),Specialized engineers
Technical/White Collar (Medium),Bank worker
Technical/White Collar (Medium),C-level staff
Technical/White Collar (Medium),Engineer (vague)
Technical/White Collar (Medium),Field worker
Technical/White Collar (Medium),Government employee
Technical/White Collar (Medium),Hotel/food Industry
Technical/White Collar (Medium),IT Company professional
Technical/White Collar (Medium),Manager
Technical/White Collar (Medium),Manual/Non-Office workers
Technical/White Collar (Medium),Office staff (low- medium)
Technical/White Collar (Medium),Other
Technical/White Collar (Medium),Real Estate
Technical/White Collar (Medium),Sales person
Technical/White Collar (Medium),Semi-Technical staff
Technical/White Collar (Medium),Software Engineers and developers
Technical/White Collar (Medium),Specialized engineers
Technical/White Collar (Medium),Supervisor
