uidp,mean_km,dist_mode,dist_mean,norm_mean,norm_sd,dt_wcha,peak_rate,pk_am,pk_pm,adetourtime,adetourdist,in_area_treatment,area_charge_mean,nct23,nct,ntr,cha_ct23,cha_ct,cha_tr,sample_dt_pre,sample_dt_pos,mean_dt_pre1,mean_dt_pre2,mean_dt_pre3,mean_dt_pre4,mean_dt_pre5,mean_dt_pre6,mean_dt_pre7,mean_dt_pre8,mean_dt_pre9,mean_dt_pre10,mean_dt_pre11,mean_dt_pre12,mean_dt_pre13,mean_dt_pre14,mean_dt_pre15,mean_dt_pre16,mean_dt_pre17,mean_dt_pre18,mean_dt_pre19,mean_dt_pre20,mean_dt_pre21,mean_dt_pre22,mean_dt_pre23,mean_dt_pre24,mean_dt_pre25,mean_dt_pre26,mean_dt_pre27,mean_dt_pre28,mean_dt_pre29,mean_dt_pre30,mean_dt_pre31,mean_dt_pre32,mean_dt_pre33,mean_dt_pre34,mean_dt_pre35,mean_dt_pre36,mean_dt_pre37,mean_dt_pre38,mean_dt_pre39,mean_dt_pre40,mean_dt_pre41,mean_dt_pre42,mean_dt_pre43,mean_dt_pre44,mean_dt_pre45,mean_dt_pre46,mean_dt_pre47,mean_dt_pre48,mean_dt_pre49,mean_dt_pre50,mean_dt_pre51,mean_dt_pre52,mean_dt_pre53,mean_dt_pre54,mean_dt_pre55,mean_dt_pre56,mean_dt_pre57,mean_dt_pre58,mean_dt_pre59,mean_dt_pre60,mean_dt_pre61,mean_dt_pos1,mean_dt_pos2,mean_dt_pos3,mean_dt_pos4,mean_dt_pos5,mean_dt_pos6,mean_dt_pos7,mean_dt_pos8,mean_dt_pos9,mean_dt_pos10,mean_dt_pos11,mean_dt_pos12,mean_dt_pos13,mean_dt_pos14,mean_dt_pos15,mean_dt_pos16,mean_dt_pos17,mean_dt_pos18,mean_dt_pos19,mean_dt_pos20,mean_dt_pos21,mean_dt_pos22,mean_dt_pos23,mean_dt_pos24,mean_dt_pos25,mean_dt_pos26,mean_dt_pos27,mean_dt_pos28,mean_dt_pos29,mean_dt_pos30,mean_dt_pos31,mean_dt_pos32,mean_dt_pos33,mean_dt_pos34,mean_dt_pos35,mean_dt_pos36,mean_dt_pos37,mean_dt_pos38,mean_dt_pos39,mean_dt_pos40,mean_dt_pos41,mean_dt_pos42,mean_dt_pos43,mean_dt_pos44,mean_dt_pos45,mean_dt_pos46,mean_dt_pos47,mean_dt_pos48,mean_dt_pos49,mean_dt_pos50,mean_dt_pos51,mean_dt_pos52,mean_dt_pos53,mean_dt_pos54,mean_dt_pos55,mean_dt_pos56,mean_dt_pos57,mean_dt_pos58,mean_dt_pos59,mean_dt_pos60,mean_dt_pos61,idfxnpre,idfxnpos,idfxbe,idfx,dur_gm_0,dur_gm_1,dur_gm_2,dur_gm_3,dur_gm_4,dur_gm_5,dur_gm_6,dur_gm_7,dur_gm_8,dur_gm_9,dur_gm_10,dur_gm_11,dur_gm_12,dur_gm_13,dur_gm_14,dur_gm_15,dur_gm_16,dur_gm_17,dur_gm_18,dur_gm_19,dur_gm_20,dur_gm_21,dur_gm_22,dur_gm_23,dur_gm_24,dur_gm_25,dur_gm_26,dur_gm_27,dur_gm_28,dur_gm_29,dur_gm_30,dur_gm_31,dur_gm_32,dur_gm_33,dur_gm_34,dur_gm_35,dur_gm_36,dur_gm_37,dur_gm_38,dur_gm_39,dur_gm_40,dur_gm_41,dur_gm_42,dur_gm_43,dur_gm_44,dur_gm_45,dur_gm_46,dur_gm_47,dur_gm_48,dur_gm_49,dur_gm_50,dur_gm_51,dur_gm_52,dur_gm_53,dur_gm_54,dur_gm_55,dur_gm_56,dur_gm_57,dur_gm_58,dur_gm_59,dur_gm_60,dur_gm_61,dur_gm_62,dur_gm_63,dur_gm_64,dur_gm_65,dur_gm_66,dur_gm_67,dur_gm_68,dur_gm_69,dur_gm_70,dur_gm_71,dur_gm_72,dur_gm_73,dur_gm_74,dur_gm_75,dur_gm_76,dur_gm_77,dur_gm_78,dur_gm_79,dur_gm_80,dur_gm_81,dur_gm_82,dur_gm_83,dur_gm_84,dur_gm_85,dur_gm_86,dur_gm_87,dur_gm_88,dur_gm_89,dur_gm_90,dur_gm_91,dur_gm_92,dur_gm_93,dur_gm_94,dur_gm_95,dur_gm_96,dur_gm_97,dur_gm_98,dur_gm_99,dur_gm_100,dur_gm_101,dur_gm_102,dur_gm_103,dur_gm_104,dur_gm_105,dur_gm_106,dur_gm_107,dur_gm_108,dur_gm_109,dur_gm_110,dur_gm_111,dur_gm_112,dur_gm_113,dur_gm_114,dur_gm_115,dur_gm_116,dur_gm_117,dur_gm_118,dur_gm_119,dur_gm_120,dur_gm_121,dur_gm_122,dur_gm_123,dur_gm_124,dur_gm_125,dur_gm_126,dur_gm_127,dur_gm_128,dur_gm_129,dur_gm_130,dur_gm_131,dur_gm_132,dur_gm_133,dur_gm_134,dur_gm_135,dur_gm_136,dur_gm_137,dur_gm_138,dur_gm_139,dur_gm_140,dur_gm_141,dur_gm_142,dur_gm_143,n_pre,n_pos,inverse_income_with_pred,area
L0207104220,2.6471188,2.686,2.6965556,-0.7678571428571429,0.5107587905504339,0,0,10.5,19.0,,,0,,,,,,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,7,5.0539026,6.0210619,659,659,647,643,641,630,630,599,604,603,601,600,599,601,597,597,592,585,585,584,588,579,580,584,615,624,598,593,592,593,595,626,625,627,631,636,637,649,653,656,660,665,669,678,687,687,668,685,696,709,716,719,715,725,727,734,759,747,749,740,738,741,747,740,742,755,748,755,760,757,752,749,752,752,752,753,755,754,756,751,744,744,740,737,734,731,722,727,729,737,743,750.0,746,759,762,757,755,754,765,760,758,765,770,776,785,785,783,782,786,793,811,823,830,840,851,848,835,836,834,817,814,819,808,799,791,778,772,768,764,751,750,741,735,731,718,713,703,664,663,677,668,665,661,656,14,9,0.37756038,0
L0208090332,15.113282,16.005,16.313778,-1.1987179487179487,0.4174138599571539,0,0,10.5,19.5,,,0,,,,,,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6,12.047297,19.097223,2275,2270,2244,2226,2208,2186,2174,2159,2128,2121,2096,2071,2046,2055,2052,2040,2042,2035,2018,2031,2029,2026,2028,2037,2039,2060,2077,2098,2111,2120,2129,2147,2165,2192,2130,2159,2180,2225,2252,2287,2325,2396,2478,2524,2619,2704,2794,2969,2985,3053,3160,3269,3404,3547,3630,3697,3737,3778,3769,3769,3745,3659,3680,3631,3615,3681,3621,3559,3482,3417,3395,3392,3390,3356,3320,3287,3273,3247,3250,3262,3206,3169,3107,3081,3085,3065,3042,3040,3038,3020,3046,3048.0,3045,3071,3147,3228,3286,3333,3392,3395,3422,3460,3551,3578,3641,3670,3751,3810,3888,3916,3821,3952,3921,3850,3781,3728,3671,3608,3540,3463,3377,3313,3261,3190,3155,3069,3018,2975,2900,2850,2782,2720,2662,2614,2550,2519,2478,2534,2484,2464,2430,2413,2376,2322,13,8,0.97086877,0
L0208100638,22.823494,22.274,22.363937,-0.7685185185185186,0.8698037951028431,0,0,10.5,19.0,10.716666,3.6389999,0,192,,,,,,,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,0.46762756,-5.9523811,3037,3040,3035,3005,2966,2951,2957,2929,2892,2866,2826,2804,2804,2796,2788,2780,2772,2738,2742,2729,2715,2711,2707,2726,2742,2759,2771,2775,2784,2795,2825,2853,2879,2918,2955,3008,3060,3118,3180,3278,3401,3518,3640,3767,3998,4169,4271,4373,4467,4650,4860,4964,5085,5169,5299,5380,5330,5287,5218,5115,5114,5068,5036,5017,4995,4966,4939,4872,4800,4720,4716,4706,4690,4634,4588,4604,4624,4617,4584,4507,4474,4431,4443,4499,4454,4600,4533,4540,4533,4505,4522,4552.0,4654,4732,4845,4834,4864,4902,4957,5063,5046,5014,5070,5087,5134,5195,5220,5271,5379,5453,5478,5445,5306,5261,5138,5108,4999,4859,4759,4708,4614,4572,4520,4430,4315,4227,4118,4026,3927,3825,3766,3687,3619,3554,3494,3424,3352,3304,3266,3213,3181,3134,3109,3074,9,7,0.28232047,0
L0209092252,3.6055396,3.738,3.7379999,0.642857142857143,0.41864609190168045,0,0,9.833333,19.5,,,0,,,,,,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,799,793,785,776,773,768,757,741,712,708,710,715,716,711,733,706,703,700,692,699,701,709,715,714,710,748,721,719,726,722,730,723,740,728,736,737,733,753,788,798,796,812,815,825,831,837,841,863,872,878,889,908,912,920,943,954,948,961,964,975,965,969,963,965,956,958,952,943,947,942,946,954,953,955,950,954,957,955,942,943,954,955,960,963,956,954,939,929,920,921,917,918.0,904,919,925,957,957,962,968,982,981,1009,1006,1022,1042,1055,1057,1083,1155,1152,1185,1205,1218,1236,1246,1211,1162,1146,1127,1132,1150,1112,1119,1058,1044,1021,1066,1053,1068,999,1003,978,968,961,951,939,932,895,887,859,840,826,817,819,7,2,0.36150894,0
L0221193538,6.5941443,7.181,7.1810002,-1.6666666666666667,0.2886751345948129,0,0,10.0,18.666666,,,0,,,,,,,,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,1.8275068,-2.0833335,1145,1148,1151,1144,1137,1124,1114,1119,1116,1112,1106,1101,1088,1090,1090,1079,1078,1078,1063,1068,1069,1067,1066,1065,1068,1076,1081,1086,1088,1093,1093,1093,1097,1103,1109,1118,1125,1134,1152,1168,1193,1239,1279,1311,1343,1369,1382,1418,1539,1608,1717,1759,1819,1773,1770,1741,1771,1763,1784,1791,1809,1786,1741,1762,1762,1706,1680,1678,1675,1657,1655,1641,1595,1572,1535,1515,1499,1489,1477,1484,1475,1466,1469,1454,1449,1445,1446,1451,1448,1451,1466,1458.0,1449,1471,1502,1552,1599,1589,1579,1591,1572,1566,1572,1600,1593,1604,1621,1605,1611,1619,1636,1659,1657,1694,1672,1675,1641,1631,1613,1624,1607,1604,1615,1595,1558,1521,1505,1501,1469,1435,1409,1382,1367,1368,1346,1317,1291,1262,1230,1222,1210,1198,1183,1171,6,5,1.3592167,0
L0221203921,4.3161879,6.471,6.4710002,-1.1625,0.7016454136882159,1,24,9.5,19.166666,,,0,,,,,,,,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,7,8.2408524,9.6395502,965,958,954,940,926,914,903,899,907,916,928,901,909,921,933,940,920,928,933,940,933,924,932,925,915,915,924,915,920,919,921,929,941,949,970,986,986,1007,1029,1039,1060,1081,1100,1137,1169,1177,1210,1219,1223,1237,1266,1273,1320,1317,1312,1301,1282,1281,1256,1245,1243,1246,1240,1244,1236,1242,1239,1227,1229,1232,1228,1217,1224,1235,1228,1229,1230,1218,1217,1208,1197,1189,1185,1173,1169,1166,1173,1179,1193,1214,1222,1220.0,1225,1233,1222,1218,1224,1228,1232,1234,1241,1234,1240,1249,1256,1271,1289,1310,1329,1359,1379,1399,1421,1437,1447,1439,1442,1432,1428,1412,1407,1372,1354,1334,1307,1283,1262,1240,1209,1196,1170,1153,1141,1114,1088,1073,1058,1041,1035,1027,1015,997,984,968,20,7,1.3592167,0
L0222082827,10.835649,10.675,10.675,-1.222222222222222,0.1800205749557739,1,24,9.833333,18.5,,,0,,,,,,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,-31.675186,-40.277779,1704,1698,1689,1698,1706,1685,1666,1687,1680,1671,1663,1653,1652,1649,1650,1650,1646,1651,1648,1632,1623,1627,1628,1633,1627,1639,1636,1649,1650,1656,1674,1706,1733,1760,1777,1809,1824,1843,1858,1862,1898,1927,1969,2024,2064,2093,2153,2194,2247,2304,2379,2431,2509,2539,2632,2666,2697,2698,2675,2650,2619,2603,2632,2586,2590,2588,2595,2570,2541,2526,2490,2512,2481,2483,2458,2467,2419,2400,2395,2386,2387,2352,2365,2402,2389,2406,2396,2411,2390,2401,2402,2406.0,2406,2402,2412,2422,2435,2428,2435,2431,2435,2452,2452,2491,2508,2507,2519,2543,2549,2559,2594,2608,2638,2641,2620,2604,2581,2569,2528,2486,2473,2445,2429,2404,2352,2295,2268,2227,2181,2153,2110,2077,2045,2004,1971,1934,1898,1870,1836,1827,1808,1776,1755,1742,6,4,3.3980434,0
L0222180702,23.212162,24.876,24.745111,-2.4166666666666665,0.4073334,0,0,10.5,19.0,,,0,,,,,,,,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,13.346691,17.361111,2932,2928,2909,2899,2886,2883,2860,2852,2837,2830,2795,2771,2754,2754,2750,2730,2721,2709,2706,2709,2705,2702,2693,2710,2739,2746,2745,2751,2759,2778,2780,2806,2840,2865,2912,2952,3025,3110,3192,3317,3499,3746,4025,4048,4214,4531,4536,4806,4892,4924,4986,5154,5258,5385,5371,5411,5417,5485,5455,5445,5343,5238,5177,5050,4879,4822,4667,4581,4502,4459,4371,4380,4335,4284,4203,4166,4116,4129,4145,4098,4023,3944,3920,3919,3945,3920,3920,3903,3932,3928,4006,4128.0,4300,4447,4510,4571,4565,4659,4687,4622,4560,4558,4558,4586,4587,4592,4613,4712,4808,4799,4890,4898,5043,5125,5174,5128,5066,5043,4965,4875,4817,4779,4789,4689,4666,4366,4287,4152,4026,3968,3960,3754,3715,3577,3499,3417,3335,3265,3229,3188,3122,3085,3063,3008,1,3,0.27184331,0
L0223083200,7.1190052,6.047,6.0469999,-0.7083333333333333,0.29462782549439476,0,0,10.0,19.5,,,0,,,,,,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,999,1001,991,995,995,973,959,963,939,944,941,945,960,952,948,930,933,944,943,948,945,937,945,953,949,949,974,979,981,971,978,981,991,988,993,1005,1016,1019,1022,1031,1031,1042,1040,1051,1068,1087,1092,1102,1107,1107,1119,1126,1126,1130,1128,1125,1127,1123,1125,1125,1124,1126,1124,1132,1135,1131,1134,1136,1131,1120,1119,1109,1113,1115,1124,1124,1120,1121,1112,1105,1109,1106,1108,1094,1094,1093,1105,1107,1112,1126,1124,1124.0,1116,1113,1115,1129,1140,1141,1159,1158,1157,1155,1151,1153,1149,1158,1166,1170,1179,1184,1194,1206,1204,1214,1216,1212,1222,1216,1221,1205,1194,1195,1184,1169,1165,1151,1133,1130,1115,1098,1098,1095,1078,1067,1062,1054,1051,1044,1025,1025,1000,983,981,970,2,1,0.61782604,0
L0223085721,9.724432,9.972,9.9720001,0.2424242424242424,0.41071506995345164,0,0,9.5,19.0,,,0,,,,,,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1642,1641,1640,1627,1627,1607,1592,1571,1557,1542,1536,1531,1509,1484,1483,1493,1485,1482,1484,1473,1476,1486,1484,1487,1502,1503,1517,1523,1532,1546,1544,1547,1559,1580,1595,1610,1628,1651,1654,1684,1702,1720,1772,1812,1844,1891,1931,2000,2116,2249,2329,2440,2519,2582,2629,2719,2737,2755,2760,2758,2779,2833,2809,2817,2764,2737,2661,2565,2515,2457,2401,2353,2304,2330,2325,2298,2255,2240,2214,2197,2195,2197,2169,2146,2118,2106,2115,2086,2085,2088,2086,2071.0,2068,2098,2082,2090,2138,2172,2212,2264,2295,2314,2354,2374,2422,2419,2461,2442,2509,2497,2523,2521,2571,2555,2529,2541,2543,2522,2465,2466,2479,2438,2414,2376,2378,2326,2272,2237,2205,2146,2102,2052,2008,1955,1945,1933,1910,1869,1835,1785,1764,1735,1727,1708,11,12,0.37756038,0
