hour3,dur,dist,delay_gm
0,308.21609,2316.6267,2.2174203
1,300.55664,2313.2942,2.1654303
2,296.86761,2314.7405,2.1375155
3,293.9722,2315.3538,2.1161072
4,291.5762,2316.7354,2.0976083
5,289.40198,2315.3865,2.0831797
6,287.11099,2313.1243,2.0687099
7,286.36694,2318.3459,2.0587015
8,285.15805,2316.6199,2.0515382
9,284.2778,2318.6404,2.0434232
10,283.23703,2316.6484,2.0376925
11,283.36032,2315.7651,2.0393572
12,284.43729,2318.5754,2.0446267
13,286.36618,2315.5649,2.0611687
14,288.8132,2316.7046,2.0777588
15,292.14197,2318.1814,2.1003675
16,298.81189,2319.1655,2.1474094
17,306.0697,2319.0669,2.1996613
18,312.95758,2317.8281,2.2503653
19,321.67987,2316.5371,2.314373
20,332.97089,2318.1289,2.3939629
21,351.15222,2317.8198,2.5250182
22,380.31134,2319.2041,2.7330594
23,407.51266,2321.6233,2.9254866
24,432.7598,2321.8489,3.106431
25,468.98401,2323.675,3.3638096
26,501.36069,2325.4358,3.5933099
27,528.47174,2328.6704,3.7823567
28,540.21899,2331.0408,3.8625021
29,542.177,2332.8496,3.8734958
30,548.29327,2331.0837,3.9201601
31,547.3421,2333.6384,3.9090753
32,540.1803,2330.8586,3.8625271
33,534.14789,2331.2246,3.8187933
34,525.15167,2331.9036,3.7533834
35,521.52917,2332.062,3.7272391
36,515.00464,2330.6648,3.6828165
37,512.50116,2334.2314,3.6593142
38,507.2561,2334.8196,3.6209514
39,497.8251,2331.7471,3.5583127
40,486.9852,2330.8323,3.4821982
41,472.62579,2328.9333,3.3822765
42,458.42877,2326.9912,3.2834158
43,453.01468,2324.3684,3.2482994
44,452.8537,2326.7031,3.2438869
45,456.73425,2330.769,3.2659767
46,465.004,2329.1084,3.3274822
47,480.55469,2329.2231,3.4385905
48,491.13297,2331.5994,3.5107014
49,501.97488,2327.2891,3.594847
50,510.94754,2330.9282,3.6533911
51,514.86511,2329.3162,3.6839504
52,525.53955,2324.9949,3.7673168
53,540.99713,2332.1914,3.8661573
54,555.53015,2330.8904,3.9722314
55,575.08954,2325.905,4.1209016
56,594.59705,2330.9387,4.2514849
57,615.49042,2331.8103,4.3992314
58,621.13916,2336.8875,4.4299607
59,608.55823,2337.5613,4.3389826
60,591.19495,2337.1477,4.215929
61,570.59326,2334.1147,4.0743017
62,544.8335,2328.74,3.899344
63,514.73895,2326.1797,3.6880138
64,484.39182,2317.489,3.4835966
65,454.79742,2322.5518,3.2636333
66,424.87015,2317.5923,3.0553989
67,401.03674,2323.8718,2.8762109
68,377.91272,2320.6577,2.7141209
69,357.00281,2314.875,2.5703533
70,338.71616,2318.1042,2.4352956
71,324.65134,2318.9553,2.3333161
