uidp_original,occupation,occ_name,In-detail Category (edited),Broad Category
L0505151805_FF13,,,,
L0228114920,,,,
L0421164411,,,,
L0328124333,,,,
L0421163802,,,,
L0410090246,,,,
L0424174612_B5AD,,,,
L0411163320,,,,
L0223100827,,,,
L0424194905_6CC9,,,,
L0408185802,,,,
L0421132431,,,,
L0502200006_6A91,,,,
L0310195556,,,,
L0523195624_7381,,,,
L0228095438,,,,
L0428193914_E06E,,,,
L0421084538,,,,
L0428162633_F91B,,,,
L0502184904_6390,,,,
L0322182749,,,,
L0505100548_0346,,,,
L0307080652,,,,
L0420182356,,,,
L0322110432,,,,
L0502155843_CC44,,,,
L0420172225,,,,
L0317133819,,,,
L0525100547_A729,,,,
L0420161627,,,,
L0428090143_B279,,,,
L0509204442_5C17,,,,
L0411084212,,,,
L0420171145,,,,
L0517092100_18AA,,,,
L0209083730,,,,
L0418170032,,,,
L0522180103_AD60,,,,
L0307100354,,,,
L0222181157,,,,
L0221111609,,,,
L0516170142_67FF,,,,
L0422092350_2893,,,,
L0425121020_57A8,,,,
L0419122439,,,,
L0425110636_5E2E,,,,
L0422160758_EAB9,,,,
L0422175211_6D16,,,,
L0417194038,,,,
L0202114532,,,,
L0503151858_72E0,,,,
L0419191053,,,,
L0526165804_C096,,,,
L0209104017,,,,
L0209082503,,,,
L0413130825,,,,
L0419164229,,,,
L0503082838_391F,,,,
L0419155301,,,,
L0419170821,,,,
L0228184239,,,,
L0411184703,,,,
L0606103903_9A2E,,,,
L0419145125,,,,
L0303094659,,,,
L0207120429,,,,
L0407180341,,,,
L0505201608_4C24,,,,
L0324083727,,,,
L0425085114_2E31,,,,
L0504164430_92E6,,,,
L0505171953_48CA,,,,
L0207080213,,,,
L0418165547,,,,
L0204115133,,,,
L0509174909_B6B6,,,,
L0417134752,,,,
L0508181527_F2C9,,,,
L0418164103,,,,
L0420105524,,,,
L0527083752_C066,,,,
L0418103720,,,,
L0422105133_CF8A,,,,
L0223172438,,,,
L0314193619,,,,
L0411154813,,,,
L0427191230_15F4,,,,
L0302110013,,,,
L0428132240_ED1D,,,,
L0509203658_F59C,,,,
L0608100430_ED3C,,,,
L0515092006_E486,,,,
L0522181904_B121,,,,
L0327180458,,,,
L0421194051,,,,
L0327123326,,,,
L0418083621,,,,
L0325080619,,,,
L0407165914,,,,
L0520181937_6458,,,,
L0424104008_FD6E,,,,
L0422182919_3375,,,,
L0411133111,,,,
L0413195208,,,,
L0417203049,,,,
L0424194549_9403,,,,
L0414201328,,,,
L0417164642,,,,
L0502173057_5C4E,,,,
L0503163017_8EB2,,,,
L0413155034,,,,
L0511195422_CAE7,,,,
L0502195305_DD98,,,,
L0522093029_34CB,,,,
L0406195452,,,,
L0414105033,,,,
L0523091409_0105,,,,
L0425081938_90CE,,,,
L0518193657_B67C,,,,
L0204121536,,,,
L0414084017,,,,
L0306102330,,,,
L0502193044_0F42,,,,
L0413201806,,,,
L0413192343,,,,
L0411194727,,,,
L0413165856,,,,
L0420084507,,,,
L0417130213,,,,
L0504101754_F0EE,,,,
L0302171116,,,,
L0413163701,,,,
L0503202307_D2C8,,,,
L0522111948_0387,,,,
L0209112639,,,,
L0511183704_159A,,,,
L0224103420,,,,
L0503182052_5F74,,,,
L0414183951,,,,
L0419123550,,,,
L0422150158_7AA8,,,,
L0506185806_78BC,,,,
L0508133624_1764,,,,
L0513173654_E284,,,,
L0519121629_1D9F,,,,
L0220105508,,,,
L0413091312,,,,
L0515085157_3159,,,,
L0208081356,,,,
L0519095600_78A5,,,,
L0523090356_492E,,,,
L0301110958,,,,
L0424175436_429A,,,,
L0524085528_0666,,,,
L0419171706,,,,
L0316174118,,,,
L0424085900_2F09,,,,
L0422131421_53BB,,,,
L0529102103_1111,,,,
L0509205605_41EE,,,,
L0410103927,,,,
L0607085542_0D48,,,,
L0417151330,,,,
L0207084932,,,,
L0302193922,,,,
L0427163948_67F2,,,,
L0525165727_5AEF,,,,
L0302101624,,,,
L0209090205,,,,
L0412181436,,,,
L0427172944_C8F4,,,,
L0304172316,,,,
L0509205026_949B,,,,
L0502172341_28A7,,,,
L0408183026,,,,
L0505200706_3336,,,,
L0422153004_C5FA,,,,
L0518093805_4649,,,,
L0425084607_E01D,,,,
L0411183903,,,,
L0411182635,,,,
L0411171851,,,,
L0228092140,,,,
L0525202808_8BE7,,,,
L0411084729,,,,
