uidp,occ_name,Correct Occupation,Broad Categories,In-detail Categories
L0513185027_AB24,Business,"business,owener of the hotel",Businees Owner (high),Hotel/food Industry
L0427091208_5FB1,Jaya argen compani sup,working in jaya argen project as a field visitor,Blue Collar - mobile,Field worker
L0520105847_63C7,Owan busanas,owen business hotel manegement,Businees Owner (high),Hotel/food Industry
L0322183541,superviser,sales man,Blue Collar - mobile,Sales person
L0208084657,Contractor,building own contractor,Businees Owner (high),Building/Construction
L0317192448,Manger,proparty manager,Technical/White Collar (High),Manager
L0424113958_4D35,Csa reliance smart,relince smart,Blue Collar - fixed,Supervisor
L0606175506_7A33,Business,owen business computer sales and service,Miscellaneous Shop Owner (medium),"Shop owner: medical, mobile, vegetable, flower, clothes, others"
L0411111743,Marketig,student,Student,Student
L0303105126,Retard Lic,goverment retierd person now he self empyee,Retired,Retired
L0414082305,It compani,engineer,Technical/White Collar (High),Engineer (vague)
L0301104632,Manager,jonal manager in company,Technical/White Collar (High),Manager
L0516085227_304F,Odobien,working company as a QA MANAGER,Technical/White Collar (High),Manager
L0524165908_A0B4,Sdt,student,Student,Student
L0325191810,constant,auditor government employee,Specialized professions,Accountant
L0524095701_65FC,Bussiness,sales executive,Blue Collar - mobile,Sales person
L0506094845_4488,Fild work marketing,field work,Blue Collar - mobile,Field worker
L0427082821_EE6B,Sallery compeny,saftware engineer,Technical/White Collar (High),Software Engineers and developers
L0603154038_4C0B,Marketing,field visitor,Blue Collar - mobile,Field worker
L0301171754,Busines,owen bussiness man,Businees Owner (high),Building/Construction
L0419164811,IT BT company,mager subject manager working in ibm company,Technical/White Collar (High),Manager
L0309185648,Samlping constant,working in export company as sampling incharge,Technical/White Collar (Medium),Office staff (low- medium)
L0428112632_7B9C,Alpina housing companiyalli Pida ofc sir agi work madti,field superviser in alpina housing company,Blue Collar - mobile,Supervisor
L0208094640,bhaic insurence,baik insurense,Blue Collar - mobile,Manual/Non-Office workers
L0418155326,Propreiter,bulding contractor owen business,Businees Owner (high),Building/Construction
L0220102705,Car deelar,car deelar,Businees Owner (high),Business Owner
L0427183634_92D5,Real Estate,owen real estate business,Miscellaneous Shop Owner (medium),Real Estate
L0505091407_99D8,Owan busyneas,cattaring bussiness and marketting,Businees Owner (high),Hotel/food Industry
L0302090736,Distrubuter,idea mobile distrubuter,Blue Collar - mobile,Field worker
L0410130753,Owen bsz,sales person working in samsung office,Blue Collar - mobile,Sales person
L0404124624,Manegar,chif manager,Technical/White Collar (High),Manager
L0422115900_A6B1,Shree mandan courier,field worker,Blue Collar - mobile,Field worker
L0419150021,Superviser,working in yamaha showroom as field worker,Blue Collar - mobile,Field worker
L0424122417_2473,Cheques &metrials collect to give engineering office,distrubutor,Blue Collar - mobile,Field worker
L0227114612,Field visitor,field worker,Blue Collar - mobile,Field worker
L0208080316,Service engineer,saftware engineer,Technical/White Collar (High),Software Engineers and developers
L0424155218_1832,R m,relationship manager,Technical/White Collar (High),Manager
