minute,pts_in,pts_out
0,0.0,0.0
1,0.0,0.0
2,31.0,11.0
3,62.0,29.0
4,96.0,45.0
5,111.0,54.0
6,122.0,56.0
7,131.0,42.0
8,113.0,49.0
9,121.0,42.0
10,154.0,41.0
11,124.0,44.0
12,117.0,56.0
13,109.0,62.0
14,124.0,43.0
15,109.0,52.0
16,91.0,52.0
17,88.0,50.0
18,87.0,51.0
19,93.0,45.0
20,102.0,43.0
21,105.0,34.0
22,91.0,43.0
23,67.0,43.0
24,72.0,35.0
25,82.0,17.0
26,90.0,33.0
27,76.0,34.0
28,72.0,28.0
29,64.0,35.0
30,65.0,29.0
31,80.0,20.0
32,76.0,23.0
33,73.0,24.0
34,63.0,26.0
35,61.0,25.0
36,67.0,19.0
37,67.0,17.0
38,69.0,19.0
39,57.0,24.0
40,61.0,18.0
41,51.0,23.0
42,60.0,15.0
43,54.0,17.0
44,56.0,20.0
45,56.0,21.0
46,57.0,18.0
47,58.0,19.0
48,53.0,26.0
49,52.0,24.0
50,50.0,17.0
51,54.0,15.0
52,54.0,21.0
53,55.0,17.0
54,66.0,23.0
55,58.0,23.0
56,54.0,18.0
57,49.0,19.0
58,53.0,20.0
59,61.0,19.0
60,66.0,16.0
61,64.0,13.0
62,58.0,21.0
63,50.0,20.0
64,65.0,20.0
65,63.0,15.0
66,58.0,20.0
67,61.0,20.0
68,73.0,16.0
69,64.0,6.0
70,67.0,13.0
71,55.0,14.0
72,61.0,9.0
73,58.0,11.0
74,55.0,11.0
75,64.0,12.0
76,52.0,8.0
77,61.0,17.0
78,48.0,16.0
79,49.0,16.0
80,40.0,13.0
81,26.0,14.0
82,45.0,9.0
83,30.0,10.0
84,35.0,19.0
85,36.0,12.0
86,25.0,11.0
87,38.0,16.0
88,27.0,11.0
89,33.0,14.0
90,33.0,7.0
91,32.0,14.0
92,28.0,12.0
93,37.0,13.0
94,37.0,11.0
95,38.0,15.0
96,43.0,10.0
97,37.0,19.0
98,44.0,12.0
99,34.0,15.0
100,43.0,14.0
101,35.0,17.0
102,42.0,13.0
103,26.0,15.0
104,19.0,19.0
105,17.0,17.0
106,11.0,13.0
107,18.0,8.0
108,21.0,11.0
109,14.0,3.0
110,18.0,7.0
111,16.0,8.0
112,20.0,2.0
113,22.0,5.0
114,18.0,3.0
115,15.0,4.0
116,11.0,8.0
117,11.0,4.0
118,12.0,7.0
119,11.0,2.0
120,10.0,9.0
121,14.0,2.0
122,17.0,4.0
123,12.0,7.0
124,15.0,7.0
125,13.0,7.0
126,17.0,6.0
127,22.0,4.0
128,24.0,6.0
129,18.0,2.0
130,27.0,4.0
131,25.0,8.0
132,23.0,7.0
133,22.0,12.0
134,15.0,11.0
135,20.0,7.0
136,24.0,5.0
137,22.0,7.0
138,26.0,9.0
139,15.0,7.0
140,19.0,1.0
141,15.0,4.0
142,10.0,4.0
143,9.0,6.0
144,10.0,8.0
145,8.0,7.0
146,15.0,5.0
147,13.0,4.0
148,12.0,2.0
149,12.0,3.0
150,8.0,4.0
151,10.0,3.0
152,11.0,1.0
153,9.0,3.0
154,13.0,2.0
155,11.0,3.0
156,13.0,2.0
157,16.0,3.0
158,17.0,4.0
159,13.0,6.0
160,10.0,6.0
161,14.0,2.0
162,12.0,2.0
163,15.0,3.0
164,16.0,3.0
165,12.0,4.0
166,15.0,4.0
167,9.0,6.0
168,9.0,6.0
169,3.0,3.0
170,6.0,2.0
171,5.0,4.0
172,9.0,5.0
173,13.0,3.0
174,9.0,6.0
175,7.0,2.0
176,12.0,0.0
177,9.0,1.0
178,8.0,6.0
179,12.0,4.0
180,13.0,3.0
181,10.0,0.0
182,12.0,2.0
183,14.0,6.0
184,14.0,9.0
185,13.0,7.0
186,17.0,8.0
187,12.0,7.0
188,9.0,9.0
189,11.0,6.0
190,13.0,5.0
191,13.0,4.0
192,12.0,5.0
193,14.0,8.0
194,16.0,3.0
195,15.0,2.0
196,14.0,3.0
197,10.0,4.0
198,15.0,8.0
199,11.0,7.0
200,17.0,6.0
201,9.0,2.0
202,13.0,3.0
203,17.0,3.0
204,18.0,1.0
205,18.0,3.0
206,17.0,1.0
207,22.0,1.0
208,16.0,3.0
209,16.0,2.0
210,10.0,0.0
211,15.0,1.0
212,17.0,3.0
213,13.0,2.0
214,16.0,0.0
215,12.0,1.0
216,11.0,0.0
217,15.0,0.0
218,21.0,1.0
219,19.0,2.0
220,15.0,3.0
221,12.0,1.0
222,10.0,4.0
223,9.0,2.0
224,6.0,2.0
225,7.0,2.0
226,10.0,2.0
227,6.0,6.0
228,6.0,10.0
229,15.0,6.0
230,16.0,2.0
231,15.0,5.0
232,13.0,6.0
233,20.0,1.0
234,20.0,2.0
235,17.0,2.0
236,18.0,3.0
237,17.0,2.0
238,12.0,5.0
239,15.0,6.0
240,17.0,5.0
241,20.0,4.0
242,16.0,5.0
243,16.0,10.0
244,17.0,2.0
245,15.0,3.0
246,10.0,3.0
247,12.0,6.0
248,16.0,2.0
249,13.0,6.0
250,19.0,6.0
251,10.0,6.0
252,11.0,5.0
253,17.0,5.0
254,8.0,13.0
255,11.0,3.0
256,9.0,6.0
257,9.0,4.0
258,11.0,3.0
259,8.0,5.0
260,18.0,3.0
261,16.0,8.0
262,13.0,6.0
263,17.0,11.0
264,19.0,14.0
265,24.0,10.0
266,22.0,9.0
267,17.0,10.0
268,21.0,7.0
269,16.0,19.0
270,17.0,15.0
271,17.0,17.0
272,15.0,22.0
273,19.0,16.0
274,24.0,18.0
275,16.0,15.0
276,18.0,14.0
277,23.0,11.0
278,24.0,16.0
279,32.0,13.0
280,26.0,20.0
281,28.0,15.0
282,25.0,22.0
283,22.0,18.0
284,20.0,18.0
285,17.0,14.0
286,21.0,9.0
287,25.0,9.0
288,21.0,17.0
289,20.0,16.0
290,24.0,5.0
291,30.0,8.0
292,30.0,9.0
293,27.0,3.0
294,32.0,12.0
295,33.0,23.0
296,32.0,12.0
297,33.0,16.0
298,34.0,7.0
299,29.0,14.0
300,32.0,16.0
301,34.0,14.0
302,26.0,14.0
303,27.0,16.0
304,33.0,21.0
305,38.0,19.0
306,46.0,21.0
307,42.0,25.0
308,31.0,30.0
309,30.0,33.0
310,34.0,20.0
311,26.0,33.0
312,41.0,39.0
313,34.0,43.0
314,31.0,34.0
315,33.0,35.0
316,36.0,46.0
317,44.0,38.0
318,46.0,29.0
319,47.0,32.0
320,49.0,30.0
321,45.0,25.0
322,56.0,21.0
323,62.0,27.0
324,71.0,24.0
325,59.0,30.0
326,77.0,43.0
327,72.0,35.0
328,74.0,30.0
329,51.0,25.0
330,56.0,29.0
331,57.0,36.0
332,58.0,41.0
333,40.0,35.0
334,44.0,34.0
335,37.0,23.0
336,49.0,31.0
337,51.0,26.0
338,72.0,33.0
339,76.0,30.0
340,68.0,28.0
341,70.0,31.0
342,74.0,30.0
343,76.0,19.0
344,49.0,39.0
345,53.0,34.0
346,62.0,42.0
347,55.0,45.0
348,68.0,46.0
349,66.0,50.0
350,73.0,34.0
351,86.0,44.0
352,89.0,44.0
353,78.0,40.0
354,76.0,46.0
355,70.0,48.0
356,88.0,40.0
357,104.0,36.0
358,95.0,39.0
359,86.0,40.0
360,114.0,27.0
361,103.0,35.0
362,94.0,43.0
363,95.0,60.0
364,123.0,59.0
365,131.0,64.0
366,140.0,62.0
367,140.0,66.0
368,131.0,66.0
369,111.0,60.0
370,110.0,58.0
371,102.0,75.0
372,112.0,72.0
373,116.0,86.0
374,130.0,87.0
375,121.0,91.0
376,133.0,89.0
377,143.0,95.0
378,145.0,95.0
379,123.0,102.0
380,144.0,92.0
381,143.0,101.0
382,131.0,93.0
383,148.0,97.0
384,137.0,117.0
385,130.0,126.0
386,140.0,123.0
387,121.0,119.0
388,130.0,133.0
389,130.0,143.0
390,135.0,143.0
391,129.0,127.0
392,143.0,140.0
393,145.0,152.0
394,128.0,148.0
395,120.0,166.0
396,154.0,162.0
397,140.0,146.0
398,157.0,151.0
399,174.0,141.0
400,177.0,132.0
401,152.0,138.0
402,151.0,137.0
403,174.0,129.0
404,157.0,119.0
405,165.0,116.0
406,155.0,130.0
407,167.0,114.0
408,150.0,143.0
409,177.0,125.0
410,171.0,125.0
411,167.0,107.0
412,165.0,121.0
413,167.0,125.0
414,173.0,124.0
415,183.0,140.0
416,190.0,146.0
417,188.0,162.0
418,205.0,207.0
419,208.0,196.0
420,205.0,171.0
421,191.0,183.0
422,168.0,185.0
423,202.0,162.0
424,215.0,185.0
425,223.0,168.0
