minute,pts_in,pts_out
0,1.0,1.0
1,1.0,4.0
2,3.0,5.0
3,4.0,0.0
4,2.0,0.0
5,3.0,0.0
6,3.0,0.0
7,3.0,1.0
8,4.0,2.0
9,3.0,1.0
10,2.0,1.0
11,3.0,1.0
12,1.0,3.0
13,1.0,1.0
14,3.0,1.0
15,2.0,1.0
16,6.0,0.0
17,2.0,0.0
18,2.0,2.0
19,2.0,3.0
20,1.0,2.0
21,1.0,2.0
22,4.0,0.0
23,2.0,0.0
24,1.0,3.0
25,1.0,2.0
26,1.0,1.0
27,3.0,0.0
28,1.0,0.0
29,1.0,0.0
30,2.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,2.0,0.0
40,1.0,0.0
41,1.0,0.0
42,2.0,0.0
43,1.0,1.0
44,0.0,1.0
45,0.0,1.0
46,0.0,1.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,1.0,0.0
57,1.0,0.0
58,0.0,0.0
59,1.0,0.0
60,1.0,0.0
61,0.0,0.0
62,1.0,1.0
63,0.0,2.0
64,0.0,1.0
65,1.0,0.0
66,1.0,0.0
67,2.0,0.0
68,2.0,0.0
69,2.0,0.0
70,3.0,1.0
71,3.0,0.0
72,1.0,2.0
73,0.0,3.0
74,0.0,2.0
75,0.0,1.0
76,0.0,1.0
77,0.0,2.0
78,0.0,0.0
79,0.0,1.0
80,0.0,1.0
81,0.0,1.0
82,1.0,1.0
83,1.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,1.0
87,0.0,1.0
88,0.0,0.0
89,0.0,1.0
90,0.0,1.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,2.0
96,1.0,0.0
97,0.0,1.0
98,0.0,2.0
99,0.0,1.0
100,0.0,3.0
101,1.0,0.0
102,1.0,0.0
103,1.0,0.0
104,2.0,0.0
105,1.0,0.0
106,2.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,1.0
114,0.0,0.0
115,0.0,0.0
116,0.0,1.0
117,0.0,1.0
118,0.0,1.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,1.0,0.0
