minute,pts_in,pts_out
0,43.0,18.0
1,143.0,63.0
2,175.0,73.0
3,208.0,72.0
4,224.0,77.0
5,213.0,101.0
6,210.0,103.0
7,223.0,96.0
8,207.0,118.0
9,216.0,114.0
10,250.0,112.0
11,206.0,97.0
12,189.0,94.0
13,176.0,108.0
14,193.0,86.0
15,172.0,100.0
16,157.0,92.0
17,152.0,92.0
18,161.0,96.0
19,162.0,119.0
20,163.0,94.0
21,167.0,87.0
22,158.0,102.0
23,140.0,78.0
24,121.0,78.0
25,140.0,61.0
26,141.0,67.0
27,136.0,60.0
28,136.0,59.0
29,126.0,72.0
30,124.0,61.0
31,140.0,63.0
32,137.0,57.0
33,143.0,46.0
34,127.0,64.0
35,125.0,69.0
36,124.0,61.0
37,136.0,51.0
38,138.0,51.0
39,122.0,57.0
40,127.0,61.0
41,116.0,64.0
42,122.0,52.0
43,93.0,57.0
44,110.0,48.0
45,112.0,56.0
46,99.0,50.0
47,93.0,43.0
48,86.0,55.0
49,89.0,62.0
50,108.0,54.0
51,104.0,55.0
52,102.0,48.0
53,107.0,41.0
54,113.0,53.0
55,112.0,52.0
56,100.0,53.0
57,89.0,62.0
58,92.0,67.0
59,107.0,61.0
60,100.0,49.0
61,95.0,56.0
62,96.0,70.0
63,97.0,61.0
64,111.0,53.0
65,116.0,46.0
66,106.0,46.0
67,105.0,44.0
68,123.0,42.0
69,108.0,40.0
70,116.0,42.0
71,113.0,37.0
72,111.0,36.0
73,100.0,34.0
74,95.0,30.0
75,108.0,28.0
76,94.0,21.0
77,88.0,45.0
78,74.0,43.0
79,91.0,47.0
80,76.0,35.0
81,58.0,32.0
82,74.0,25.0
83,64.0,31.0
84,54.0,40.0
85,55.0,35.0
86,47.0,36.0
87,58.0,30.0
88,43.0,25.0
89,61.0,29.0
90,57.0,23.0
91,59.0,29.0
92,56.0,23.0
93,64.0,24.0
94,63.0,29.0
95,67.0,35.0
96,66.0,28.0
97,57.0,37.0
98,65.0,24.0
99,54.0,34.0
100,62.0,25.0
101,64.0,30.0
102,67.0,28.0
103,45.0,27.0
104,49.0,31.0
105,49.0,25.0
106,47.0,26.0
107,52.0,25.0
108,44.0,26.0
109,44.0,21.0
110,52.0,21.0
111,43.0,30.0
112,46.0,18.0
113,48.0,20.0
114,38.0,17.0
115,42.0,11.0
116,34.0,18.0
117,25.0,21.0
118,27.0,23.0
119,25.0,20.0
120,30.0,25.0
121,26.0,12.0
122,26.0,16.0
123,22.0,16.0
124,25.0,22.0
125,22.0,15.0
126,30.0,17.0
127,35.0,22.0
128,37.0,15.0
129,32.0,14.0
130,39.0,9.0
131,37.0,17.0
132,33.0,18.0
133,39.0,23.0
134,34.0,21.0
135,43.0,14.0
136,41.0,17.0
137,39.0,17.0
138,42.0,21.0
139,36.0,17.0
140,46.0,16.0
141,41.0,16.0
142,34.0,10.0
143,22.0,16.0
144,21.0,15.0
145,20.0,14.0
146,27.0,12.0
147,28.0,11.0
148,21.0,16.0
149,20.0,14.0
150,19.0,14.0
151,21.0,12.0
152,26.0,9.0
153,28.0,11.0
154,24.0,9.0
