id,east_west,gm_east,gm_west,gm_north,gm_south,north_sout,notes
1,1,50,51,-1,-1,0,
2,0,-1,-1,98,99,1,
3,1,107,106,-1,-1,0,
4,0,-1,-1,104,105,1,
5,1,164,165,-1,-1,0,peripheral
6,0,-1,-1,34,35,1,
7,1,30,31,31,30,1,
8,1,40,41,-1,-1,0,
9,0,-1,-1,46,49,1,
10,1,42,43,-1,-1,0,
11,1,36,37,36,37,1,NS mostly
12,1,13,12,-1,-1,0,peripheral
13,0,-1,-1,44,45,1,short
14,1,168,169,-1,-1,0,peripheral
15,0,-1,-1,92,93,1,peripheral
16,1,62,63,-1,-1,0,outside
17,1,56,57,-1,-1,0,outside
18,1,2,3,2,3,1,peripheral
19,1,103,102,-1,-1,0,short
20,1,109,108,108,109,1,
21,1,28,29,-1,-1,0,short
22,1,26,27,-1,-1,0,
23,0,-1,-1,96,97,1,peripheral
