"alt_lat","alt_lng","area_radius","avoid_dist","avoid_dur","base_dist","base_dur","best_waypoints","cand_lat","cand_lng","dest_lat","dest_lng","detour_dist","detour_time","filename","idx","note","notes","orig_lat","orig_lng","uidp","valid","valid_long","valid_short","wpt_lat","wpt_lng"
,,"500","2720","2720","2398","2398",,"12.90494","77.60183","12.921111","77.518727","1.015","5.366666667","maps_L0220092815/map_500_0","0",,,"12.897022","77.600007","L0220092815","0","0","1",,
,,"500","2524","2524","2398","2398",,"12.90612","77.59645","12.921111","77.518727","1.513","2.1","maps_L0220092815/map_500_1","1",,,"12.897022","77.600007","L0220092815","0","0","0",,
,,"500","2525","2525","2398","2398",,"12.90631","77.58741","12.921111","77.518727","1.514","2.116666667","maps_L0220092815/map_500_2","2",,,"12.897022","77.600007","L0220092815","0","0","0",,
,,"500","2525","2525","2398","2398",,"12.90635","77.58039","12.921111","77.518727","1.514","2.116666667","maps_L0220092815/map_500_3","3",,,"12.897022","77.600007","L0220092815","0","0","0",,
,,"500","2524","2524","2398","2398",,"12.90647","77.57321","12.921111","77.518727","1.514","2.1","maps_L0220092815/map_500_4","4",,,"12.897022","77.600007","L0220092815","0","0","0",,
,,"500","2550","2550","2398","2398",,"12.91207","77.56742","12.921111","77.518727","0.224","2.533333333","maps_L0220092815/map_500_5","5",,,"12.897022","77.600007","L0220092815","0","0","0",,
,,"500","2583","2583","2398","2398",,"12.91351","77.5615","12.921111","77.518727","0.438","3.083333333","maps_L0220092815/map_500_6","6",,,"12.897022","77.600007","L0220092815","1","0","1",,
,,"500","2550","2550","2398","2398",,"12.91165","77.55615","12.921111","77.518727","0.224","2.533333333","maps_L0220092815/map_500_7","7",,,"12.897022","77.600007","L0220092815","0","0","0",,
,,"500","2550","2550","2398","2398",,"12.90937","77.54962","12.921111","77.518727","0.224","2.533333333","maps_L0220092815/map_500_8","8",,,"12.897022","77.600007","L0220092815","0","0","0",,
,,"500","2525","2525","2398","2398",,"12.90576","77.54268","12.921111","77.518727","1.514","2.116666667","maps_L0220092815/map_500_9","9",,,"12.897022","77.600007","L0220092815","0","0","0",,
,,"500","2525","2525","2398","2398",,"12.90842","77.5369","12.921111","77.518727","1.514","2.116666667","maps_L0220092815/map_500_10","10",,,"12.897022","77.600007","L0220092815","0","0","0",,
