"bal_current","bal_open","charge","cycle_type","notes","outstation","reference_date","study_cycle","study_day","timestamp","type","uidp"
"300","300",,"control_info","Message not actually sent","FALSE","D03-13","1","1",,"report","L0202115751"
"300","300",,"control_info","Message not actually sent","FALSE","D03-14","1","2",,"report","L0202115751"
"300","300",,"control_info","Message not actually sent","FALSE","D03-15","1","3",,"report","L0202115751"
"300","300",,"control_info","Message not actually sent","FALSE","D03-16","1","4",,"report","L0202115751"
"300","300",,"control_info","Message not actually sent","FALSE","D03-17","1","5",,"report","L0202115751"
"1950","1950",,"dt",,,"D03-20","2","1","D2017-03-19 20:32:32.495476","welcome","L0202115751"
"1934","1950","16","dt",,"FALSE","D03-20","2","1","D2017-03-21 10:32:32.495476","report","L0202115751"
"1932","1950","2","dt",,"FALSE","D03-21","2","2","D2017-03-22 10:32:32.495476","report","L0202115751"
"1918","1950","14","dt",,"FALSE","D03-22","2","3","D2017-03-23 09:37:22.447991","report","L0202115751"
"1718","1950","200","dt",,"FALSE","D03-23","2","4","D2017-03-24 10:41:37.749252","report","L0202115751"
"1718","1950","0","dt",,"FALSE","D03-24","2","5","D2017-03-25 10:54:19.919844","report","L0202115751"
"1950","1950",,"dt",,,"D03-27","3","1","D2017-03-26 20:30:58.998176","welcome","L0202115751"
"1950","1950","0","dt",,"FALSE","D03-27","3","1","D2017-03-28 10:55:14.786627","report","L0202115751"
"1821","1950","129","dt",,"FALSE","D03-28","3","2","D2017-03-29 10:55:14.786627","report","L0202115751"
,,,"dt",,"TRUE","D03-29","3","3","D2017-03-29 21:59:52.285494","special","L0202115751"
"1421","1950","400","dt",,"FALSE","D03-30","3","3","D2017-03-31 11:55:35.077934","report","L0202115751"
"1021","1950","400","dt",,"FALSE","D03-31","3","4","D2017-04-01 10:06:41.141140","report","L0202115751"
,"1950",,"dt",,,"D04-04","4","1","D2017-04-03 20:38:38.552875","welcome","L0202115751"
"834","1950","187","dt",,"FALSE","D04-03","3","5","D2017-04-04 11:32:03.969085","report","L0202115751"
"1550","1950","400","dt",,"FALSE","D04-04","4","1","D2017-04-06 09:26:35.135617","report","L0202115751"
"1550","1950","0","dt",,"FALSE","D04-05","4","2","D2017-04-06 09:38:00.469026","report","L0202115751"
"1487","1950","63","dt",,"FALSE","D04-06","4","3","D2017-04-07 12:14:22.729884","report","L0202115751"
"1429","1950","58","dt",,"FALSE","D04-07","4","4","D2017-04-08 10:24:28.052862","report","L0202115751"
"1029","1950","400","dt",,"False","D04-10","4","5","D2017-04-11 11:22:21.964201","report","L0202115751"
"1029","1950",,"dt",,,"D04-10","4",,"D2017-04-21 11:55:17.333382","summary","L0202115751"
"300","300","0","control_qual",,,"D03-20","1","1",,"welcome","L0207104220"
"300","300","0","control_qual",,"FALSE","D03-20","1","1",,"report","L0207104220"
"300","300","0","control_qual",,"FALSE","D03-21","1","2","D2017-03-22 10:32:52.025566","report","L0207104220"
"300","300","0","control_qual",,"FALSE","D03-22","1","3","D2017-03-23 09:38:27.060113","report","L0207104220"
"300","300","0","control_qual",,"TRUE","D03-23","1","4","D2017-03-24 11:21:03.494369","report","L0207104220"
"300","300","0","control_qual",,"FALSE","D03-24","1","4","D2017-03-25 10:54:54.220522","report","L0207104220"
"300","300","0","control_qual",,,"D03-28","2","1","D2017-03-27 20:49:02.106443","welcome","L0207104220"
"300","300","0","control_qual",,"FALSE","D03-27","1","5","D2017-03-28 10:56:57.284004","report","L0207104220"
"300","300","0","control_qual",,"FALSE","D03-28","2","1","D2017-03-29 13:03:09.042987","report","L0207104220"
,,,"control",,"TRUE","D03-29","2","2","D2017-03-29 22:00:46.883165","special","L0207104220"
"300","300","0","control_qual",,"FALSE","D03-30","2","2","D2017-03-31 11:58:06.152376","report","L0207104220"
"300","300","0","control_qual",,"FALSE","D03-31","2","3","D2017-04-01 10:06:54.776365","report","L0207104220"
"300","300","0","control_qual",,"FALSE","D04-03","2","4","D2017-04-04 11:32:03.972091","report","L0207104220"
,"300",,"control_qual",,,"D04-05","3","1","D2017-04-04 19:39:34.727853","welcome","L0207104220"
"300","300","0","control_qual",,"FALSE","D04-04","2","5","D2017-04-06 09:26:35.138621","report","L0207104220"
"300","300","0","control_qual",,"FALSE","D04-05","3","1","D2017-04-06 09:38:00.473037","report","L0207104220"
"300","300","0","control_qual",,"FALSE","D04-06","3","2","D2017-04-07 12:14:22.731388","report","L0207104220"
"300","300","0","control_qual",,"FALSE","D04-07","3","3","D2017-04-08 10:24:28.054871","report","L0207104220"
"300","300","0","control_qual",,"FALSE","D04-10","3","4","D2017-04-11 11:22:21.966708","report","L0207104220"
,"300",,"control_qual",,,"D04-12","4","1","D2017-04-11 21:48:03.054156","welcome","L0207104220"
"300","300","0","control_qual",,"FALSE","D04-11","3","5","D2017-04-12 20:52:43.137155","report","L0207104220"
"300","300","0","control_qual",,"FALSE","D04-12","4","1","D2017-04-13 11:47:13.518536","report","L0207104220"
"300","300","0","control_qual",,"FALSE","D04-13","4","2","D2017-04-14 09:52:38.753762","report","L0207104220"
"300","300","0","control_qual",,"FALSE","D04-14","4","3","D2017-04-16 10:51:47.531762","report","L0207104220"
"300","300","0","control_qual",,"FALSE","D04-17","4","4","D2017-04-18 19:35:05.392650","report","L0207104220"
"300","300","0","control_qual",,"FALSE","D04-18","4","5","D2017-04-19 10:33:46.000389","report","L0207104220"
"300","300",,"control_qual",,,"D04-18","4",,"D2017-04-21 11:55:17.336405","summary","L0207104220"
"300","300","0","control_qual","not sent","FALSE","D04-19","5","1",,"report","L0207104220"
"300","300","0","control_qual","not sent","FALSE","D04-20","5","2",,"report","L0207104220"
"300","300","0","control_qual","not sent","FALSE","D04-21","5","3",,"report","L0207104220"
