report_last_date,report_last_days_since,start_date,summary_last,today_cycle,today_cycle_type,today_day,today_stage,treat_cell,uidp
D04-10,,D03-10,4,,,,ended,DT234,L0202115751
D04-25,,D03-20,5,,,,ended,CONTROL,L0207104220
D04-12,,D03-10,4,,,,ended,DT234,L0208184827
D04-24,,D03-20,5,,,,ended,INFO,L0209092252
D05-03,,D03-20,5,,,,ended,CONTROL,L0208080316
D05-03,,D03-20,5,,,,ended,INFO,L0208090332
D04-20,,D03-14,4,,,,ended,DT123,L0208175732
D04-25,,D03-14,4,,,,ended,DT-A1,L0220092815
D04-18,,D03-15,4,,,,ended,DT123,L0206193403
D04-24,,D03-20,5,,,,ended,CONTROL,L0208181817
D04-26,,D03-15,4,,,,ended,DT-A4,L0209112655
D04-24,,D03-20,5,,,,ended,INFO,L0207085326
D04-17,,D03-16,4,,,,ended,INFO-A1,L0202100848
D04-17,,D03-16,4,,,,ended,INFO-A1,L0209192746
D04-25,,D03-20,4,,,,ended,INFO-A4,L0208100638
D04-20,,D03-20,4,,,,ended,INFO-A4,L0209101737
D04-20,,D03-20,4,,,,ended,CONTROL-A4,L0207092010
D04-25,,D03-20,4,,,,ended,DT-A1,L0209180058
D04-26,,D03-21,5,,,,ended,CONTROL,L0228080530
D04-25,,D03-21,5,,,,ended,INFO,L0304170124
D04-25,,D03-21,5,,,,ended,INFO,L0223110724
D04-26,,D03-21,5,,,,ended,CONTROL,L0306104209
D04-24,,D03-21,4,,,,ended,DT123,L0222082827
D04-25,,D03-21,5,,,,ended,CONTROL,L0307173507
D05-01,,D03-22,4,,,,ended,DT-A1,L0301104632
D04-26,,D03-22,5,,,,ended,CONTROL,L0227114612
D04-24,,D03-22,4,,,,ended,CONTROL-A1,L0220130052
D05-05,,D03-22,5,,,,ended,CONTROL,L0221200203
D04-27,,D03-22,4,,,,ended,DT-A4,L0303085514
D05-01,,D03-23,5,,,,ended,CONTROL,L0222180702
D04-25,,D03-22,4,,,,ended,DT123,L0222180714
D04-28,,D03-22,4,,,,ended,DT-A4,L0302114520
D04-27,,D03-23,5,,,,ended,CONTROL,L0227114737
D04-25,,D03-23,4,,,,ended,DT234,L0221083908
D04-27,,D03-23,5,,,,ended,INFO,L0221104641
D05-10,,D03-23,4,,,,ended,DT-A4,L0208195435
D05-05,,D03-24,4,,,,ended,DT-A1,L0301202156
D04-28,,D03-24,5,,,,ended,INFO,L0228083114
D04-26,,D03-24,4,,,,ended,DT234,L0302090736
D04-28,,D03-24,5,,,,ended,CONTROL,L0301171754
D04-26,,D03-24,4,,,,ended,INFO-A4,L0302094732
D04-26,,D03-24,4,,,,ended,CONTROL-A1,L0221081458
D04-26,,D03-24,4,,,,ended,CONTROL-A1,L0222094327
D05-01,,D03-24,4,,,,ended,DT-A4,L0223130146
D05-01,,D03-27,4,,,,ended,DT123,L0302095219
D05-03,,D03-28,4,,,,ended,DT-A1,L0224080525
D05-05,,D03-28,4,,,,ended,DT-A4,L0304105136
D04-28,,D03-28,4,,,,ended,CONTROL-A1,L0306195634
D05-18,,D03-28,5,,,,ended,INFO,L0307094926
D05-03,,D04-03,4,,,,ended,DT234,L0314122529
D06-05,,D04-21,4,,,,ended,DT234,L0321131921
D05-05,,D04-03,5,,,,ended,CONTROL,L0303195215
D05-04,,D04-03,4,,,,ended,DT123,L0315172146
D05-12,,D04-10,5,,,,ended,INFO,L0315100611
D05-15,,D04-11,5,,,,ended,INFO,L0314124709
D05-16,,D04-12,5,,,,ended,INFO,L0223085715
D06-05,,D04-25,5,,,,ended,INFO,L0311101206
D05-16,,D04-12,5,,,,ended,INFO,L0224191535
D05-25,,D04-17,5,,,,ended,CONTROL,L0220172151
D05-26,,D04-13,5,,,,ended,INFO,L0311182227
D05-25,,D04-17,5,,,,ended,CONTROL,L0221193538
D05-22,,D04-17,5,,,,ended,CONTROL,L0303185408
D05-29,,D04-25,5,,,,ended,CONTROL,L0220082423
D05-18,,D04-12,5,,,,ended,CONTROL,L0208094640
D05-17,,D04-11,4,,,,ended,DT-A4,L0309093151
D05-10,,D04-10,4,,,,ended,INFO-A4,L0321120627
D05-12,,D04-10,5,,,,ended,INFO,L0306173746
D05-10,,D04-10,4,,,,ended,CONTROL-A1,L0306181934
D05-15,,D04-10,4,,,,ended,DT-A4,L0318131309
D05-19,,D04-12,4,,,,ended,DT-A1,L0309180523
D05-15,,D04-10,4,,,,ended,DT-A1,L0314192920
D05-12,,D04-10,4,,,,ended,CONTROL-A1,L0309185648
D05-15,,D04-13,4,,,,ended,INFO-A4,L0303182531
D05-15,,D04-13,4,,,,ended,INFO-A1,L0303105622
D06-12,,D05-08,4,,,,ended,DT-A1,L0311105330
D05-31,,D04-24,4,,,,ended,DT-A1,L0321140834
D05-15,,D04-12,4,,,,ended,CONTROL-A4,L0208192703
D05-23,,D04-21,4,,,,ended,CONTROL-A4,L0313170828
D05-22,,D04-19,4,,,,ended,CONTROL-A1,L0303184351
D06-06,,D04-24,4,,,,ended,CONTROL-A1,L0318175818
D06-14,,D04-24,4,,,,ended,DT-A4,L0221092234
D05-12,,D04-12,4,,,,ended,INFO-A4,L0303103620
D05-22,,D04-13,4,,,,ended,DT-A1,L0228120650
D05-19,,D04-12,4,,,,ended,DT-A1,L0314100346
D05-18,,D04-13,4,,,,ended,DT-A1,L0306115410
D05-17,,D04-12,4,,,,ended,DT-A4,L0221181047
D05-12,,D04-11,4,,,,ended,CONTROL-A4,L0223164110
D05-17,,D04-12,4,,,,ended,DT-A1,L0302200827
D05-19,,D04-17,4,,,,ended,INFO-A1,L0311120432
D05-22,,D04-17,4,,,,ended,DT-A4,L0220182629
D05-17,,D04-12,4,,,,ended,CONTROL-A1,L0308170807
D05-12,,D04-12,4,,,,ended,CONTROL-A4,L0306163831
D05-12,,D04-12,4,,,,ended,INFO-A1,L0222101454
D05-22,,D04-17,4,,,,ended,DT-A1,L0223090838
D05-26,,D04-21,4,,,,ended,DT-A4,L0303164952
D05-29,,D04-27,4,,,,ended,CONTROL-A1,L0321155058
D05-23,,D04-24,4,,,,ended,CONTROL-A1,L0220185936
D05-30,,D04-25,4,,,,ended,DT-A4,L0309110103
D05-23,,D04-21,4,,,,ended,DT234,L0209085224
D05-24,,D04-21,4,,,,ended,CONTROL-A4,L0208111357
