abalopen,ad1,ad2,ad3,ad4,ad5,adetourdist,adetourtime,alat,alng,amaxdaily,anodata,anotrip,aradius,atreat,dtamstart,dtpmstart,dtbalopen,dtbaltarget,dtlate,dtmaxdaily,dtnodata,dtnotrip,dttreat,areaelig,car,dateadded,datemeeting,datestart,drop_reason,idx,km_cutoff,km_daily_tot,meeting,meeting_info_integrated,occ_name,pred_resp,strat_cell,strat_name,triala,trialdt,uidp
,,,,,,,,,,,,,,0 No treatment,9:00,17:30,1950,2 High OB,1 Late (wks 2-4),400,200,200,2 High rate,NO,Moto (2 wheeler),D03-09,D03-09,D03-10,,1,14.632,14.633,done,1,delivery executive,HIGH,8,"Area inel, Moto, High resp",0,1,L0202115751
,,,,,,,,,,,,,,0 No treatment,9:00,17:30,0,1 Low OB,0 Early (wks 1-3),0,0,0,4 Control,NO,Car (4 wheeler),D03-09,D03-09,D03-20,,1,14.632,8.3430004,done,1,Marketing business fecility management,LOW,5,"Area inel,  Car,  Low resp",0,0,L0207104220
,,,,,,,,,,,,,,0 No treatment,,,0,0,0,0,0,0,3 Information,NO,Car (4 wheeler),D03-09,,,no meeting,1,14.632,22.877001,dropped,1,Input manager,HIGH,6,"Area inel,  Car, High resp",,,L0208102024
,,,,,,,,,,,,,,0 No treatment,9:00,17:30,1500,1 Low OB,1 Late (wks 2-4),300,150,150,2 High rate,NO,Car (4 wheeler),D03-09,D03-09,D03-10,,2,14.632,7.1259999,done,1,Marketing,LOW,5,"Area inel,  Car,  Low resp",0,1,L0208184827
,,,,,,,,,,,,,,0 No treatment,8:20,18:00,0,1 Low OB,1 Late (wks 2-4),0,0,0,3 Information,NO,Moto (2 wheeler),D03-10,D03-10,D03-20,,1,14.632,4.6355567,done,1,999,LOW,7,"Area inel, Moto,  Low resp",0,0,L0209092252
,,,,,,,,,,,,,,0 No treatment,9:00,17:30,0,1 Low OB,1 Late (wks 2-4),0,0,0,4 Control,NO,Moto (2 wheeler),D03-10,D03-10,D03-20,,2,14.632,26.854177,done,1,Service engineer,HIGH,8,"Area inel, Moto, High resp",0,0,L0208080316
,,,,,,,,,,,,,,0 No treatment,9:00,18:00,0,2 High OB,1 Late (wks 2-4),0,0,0,3 Information,NO,Moto (2 wheeler),D03-11,D03-11,D03-20,,3,14.632,22.06954,done,1,Associate consultant,HIGH,8,"Area inel, Moto, High resp",0,0,L0208090332
,,,,,,,,,,,,,,0 No treatment,9:00,17:00,1400,1 Low OB,0 Early (wks 1-3),300,125,125,1 Low rate,NO,Moto (2 wheeler),D03-11,D03-11,D03-14,,4,14.632,26.397224,done,1,carpenter,HIGH,8,"Area inel, Moto, High resp",0,4,L0208175732
1400,120,80,80,80,120,.43799999,3.0833333,12.91351,77.561501,200,100,100,500,"1 low,  short, early",8:00,17:00,1800,1 Low OB,1 Late (wks 2-4),400,275,275,2 High rate,YES,Car (4 wheeler),D03-13,D03-13,D03-14,,1,14.632,19.650093,done,1,Software engineer,HIGH,2,"Area elig,  Car, High resp",4,3,L0220092815
,,,,,,,,,,,,,,0 No treatment,8:00,17:00,1900,2 High OB,0 Early (wks 1-3),400,150,150,2 High rate,NO,Car (4 wheeler),D03-14,D03-14,D03-15,,3,14.632,7.2888865,done,1,Consoltent manager,LOW,5,"Area inel,  Car,  Low resp",0,3,L0206193403
,,,,,,,,,,,,,,0 No treatment,9:00,17:30,0,2 High OB,0 Early (wks 1-3),0,0,0,4 Control,NO,Moto (2 wheeler),D03-14,D03-14,D03-20,,5,14.632,16.939871,done,1,field excutive,HIGH,8,"Area inel, Moto, High resp",0,0,L0208181817
2000,160,240,160,160,240,1.3,7,12.90636,77.543701,400,200,200,750,"6 high, short, late",9:00,17:30,1500,1 Low OB,0 Early (wks 1-3),300,150,150,2 High rate,YES,Car (4 wheeler),D03-14,D03-14,D03-15,,1,14.632,9.4820929,done,1,Technical engineer,LOW,1,"Area elig,  Car,  Low resp",3,3,L0209112655
,,,,,,,,,,,,,,0 No treatment,8:00,17:00,0,2 High OB,0 Early (wks 1-3),0,0,0,3 Information,NO,Car (4 wheeler),D03-15,D03-15,D03-20,,4,14.632,7.4918242,done,1,Sinior software  engineer,LOW,5,"Area inel,  Car,  Low resp",0,0,L0207085326
1700,80,80,120,80,120,3.0999999,8.1999998,12.87384,77.566681,250,120,120,500,"3 low,  long,  early",9:00,17:00,0,2 High OB,1 Late (wks 2-4),0,0,0,3 Information,YES,Moto (2 wheeler),D03-15,D03-15,D03-16,,1,14.632,14.652906,done,1,degital marketing,HIGH,4,"Area elig, Moto, High resp",2,0,L0202100848
