run,obj_vals,opt_converged,opt_runtime,is_best_vec,param_1,param_2,param_3,param_4,param_5,param_6,param_7
1,0.08768965306239582,0,7255.451765667,0,289.0126952597439,14.733139241660055,28.70434068985385,87.45337513658602,60.305278157667225,24.38195456538175,91.67820076896028
2,0.08763716904534398,1,629.515393894,0,262.79782868418664,18.65346590507435,27.12707703347645,85.83542764588124,57.832227031881224,23.5842322826674,88.68645104376866
3,0.08758768927802944,1,332.019788496,0,280.8676336208429,15.58447646305549,28.207357026042054,86.79745211157434,59.00817066799659,22.414200817545684,90.54618590124234
4,0.08759031728430723,1,660.119202342,0,279.5397774036268,16.157220630301744,27.97588034041932,87.74275866658589,58.333875301810764,24.50014092795727,90.67282566661461
5,0.08769048361082318,1,1138.175821738,0,288.0276196068861,14.777688063596583,28.55721732855972,87.29869220594388,60.371932756124025,24.415562794862492,91.3910765472792
6,0.08759408157033383,1,827.216442864,0,273.6664576544726,16.983696944884816,28.201539519224443,87.29949390895638,58.69259308320777,23.81122265246367,89.55767888942522
7,0.20457187372439975,1,238.448517421,0,88.91862350227387,137.49167040874423,0.005041678861369411,66.86247945390691,68.31483372242148,29.575805047388513,15.490304845558539
8,0.08757311120635561,1,2871.921179992,0,290.0091103293766,14.98828602732586,29.34223744441993,88.27195701013484,58.08859948266473,24.919005218039178,92.33156161122697
9,0.08769953964871127,0,7260.954967005,0,282.20257350985884,15.75002386589789,28.44612900453499,86.38748115598305,60.416490925864075,24.678472460135417,90.79301518349205
10,0.08755762928790074,1,567.521618829,0,302.6770286379288,12.56946166231566,29.288384587388407,89.67346093066085,60.439810445331396,22.027056957851954,92.99606497077815
11,0.08754737035939054,1,598.782194398,0,297.2139021965251,13.156423569217852,28.592896864212,88.70957826530436,59.05456385574729,23.92525166168947,92.16058516526003
12,0.0875717306582757,1,782.761476814,0,293.5623107349537,13.795882577447527,29.43268179559817,88.53776921217208,60.23322308556239,21.78495577118609,91.74031024213015
13,0.08757464321709472,1,564.924453567,0,277.0230838422904,16.582046444639563,28.233262829869375,87.23925957568174,58.22147590447973,21.82621808698471,90.2417241763619
14,0.08755894657442048,1,537.602059541,0,294.8940880170393,13.684914945718448,28.795988010838617,89.36001134464537,60.477104406656245,22.049723571666703,92.14755958918705
15,0.08768248570923426,1,549.121305258,0,304.9153878528751,12.244580672567588,29.41374855763985,88.76498640623949,60.25547967443733,24.590258756525216,93.23127783557217
16,0.08768837871812554,1,2042.124782978,0,290.7420950294824,14.425592574975186,28.783842858134598,87.61557191766373,60.368323104896504,24.41010986241309,91.7606325264891
17,0.08753560468292416,1,534.37406918,1,295.33131128872407,13.722038006703626,29.085900610989,90.19623059438604,59.32669607892661,22.496289642177928,92.19726066104266
18,0.08768255901302109,1,954.440630427,0,303.62986640802967,12.46313125909537,29.41292772903197,88.54953097302706,60.08920170592505,24.648136872639107,93.10238201136644
19,0.0876825244553586,1,859.951025369,0,303.8546468483769,12.420124694782947,29.411581403197907,88.57367829919436,60.11854634036134,24.638612412132755,93.11550782289392
20,0.0875653388828677,1,322.631575582,0,284.8608747169183,15.282756396898908,28.44886480858857,87.49836152388939,58.63748594575791,23.549234263607303,91.03666173141072
21,0.08769287595331328,0,7249.604457781,0,291.96592945031256,14.253005897988752,28.89267988821768,87.92396148586344,58.3707554355176,24.583120840594102,91.85388597284607
22,0.08755616755449121,1,470.381983757,0,291.6753883782495,14.514500945873012,29.149720973321045,88.54304759298046,59.17765234068548,23.831728814268267,92.11185792265589
23,0.08771997663592351,1,516.274235235,0,273.6115731894318,17.076306472010366,28.081603495378975,84.8830124652749,59.881167364505586,26.057639520640443,89.78495933381805
24,0.08764200446272681,1,640.537076718,0,263.5722246150133,18.83317393366504,27.99506030342717,86.0706354382944,57.58049451262081,24.144620449743638,88.79582093344989
25,0.08768687896431782,1,562.121315022,0,292.929229704957,14.047216070961676,28.792047059839025,87.81666262309565,60.479074427667356,24.459819057859196,91.96400294821434
26,0.08757493591816523,1,550.194420213,0,288.9178367057785,14.600483442356376,29.150470898720044,88.43844459130197,60.473933564615336,21.807336183074998,91.3137872918801
27,0.08760400433107432,1,615.786533762,0,271.0459872064508,17.240368178708138,27.280876765765697,86.21727382070202,57.9187999602148,23.532683073086513,89.54860669708764
28,0.08755057864264737,1,459.489665942,0,295.4606466362037,13.358810583861223,28.629386930409645,88.68503190245774,59.16696459159999,23.847734787834217,91.88851025600346
29,0.08770117409928732,1,344.271984249,0,282.4689672195962,15.634273742765886,28.360987653914957,86.40848704515568,60.458523081152,24.331285777177378,90.73511984186747
30,0.08756362759253272,1,413.070088603,0,286.8360983799169,14.821443135895814,28.377140591109953,88.67694141664624,59.62631557892732,23.719947368287723,91.30389306811998
31,0.08768710183146627,1,813.856854409,0,292.3035675724637,14.207076786718897,28.81753938193211,88.05113013090956,60.50577468740121,24.46062595758305,91.98366765504001
32,0.08754696478312629,1,492.112245446,0,303.6482828612758,12.11618199510791,28.88082144613555,89.3865520499822,59.541454422012315,23.848711310379073,92.7950587591143
33,0.08769943653057416,0,7235.404220092,0,282.2521078621002,15.74297440692994,28.453418593111625,86.39273108321251,60.41925926470023,24.67334505084355,90.79499072790601
34,0.08756781455096116,1,427.854319374,0,316.33421823205754,10.447614120691528,29.33836523940255,89.63567480158105,59.65155106729285,23.30735451571121,94.5156272828392
35,0.08756572862770488,1,456.771439158,0,285.2687957070123,15.270073722197864,28.590742260287588,87.48664610980532,58.50362462220498,23.678463261403095,91.09211113129055
36,0.08763856617897421,1,483.926718665,0,262.3673304117067,18.75320171017452,27.473807957749774,86.0899953738933,58.102770517028944,23.59559018587939,88.42037977086828
37,0.08757483208448846,1,467.279357635,0,304.0227916117829,11.836748667669525,28.64462929605881,89.73153650339937,61.15110211493058,21.942939146790103,92.85489509683559
38,0.08768535361497276,1,526.803755303,0,297.144227717829,13.389022193967877,29.052288487521484,88.11400377629917,60.302334076791276,24.38339307814472,92.34726764181369
39,0.08755156897044167,1,363.154311741,0,305.7401252518287,12.041490925455651,29.226709576809338,89.23551104356011,59.47408119273183,23.631516119100482,93.30055821533358
40,0.08756562508101055,1,713.370659289,0,294.36999693034096,13.841751445907878,29.041830643944376,88.96737232938733,60.50239384789672,21.904818497720292,92.04777032283386
41,0.0876903017313742,1,3534.17386628,0,288.333144357762,14.75650423648976,28.65118123582048,87.2539545139927,60.2695999902576,24.372498921751287,91.43273305598507
42,0.08756245971377621,1,552.260751236,0,286.37045406486897,14.957061419028165,28.45704164976012,87.94737636021067,58.94106714201039,23.665056582141684,91.09385819465979
43,0.08760914791634078,1,386.976678317,0,271.1153045650444,17.408016033650657,28.14210735752635,86.62371667339691,57.91267477145778,24.045998893317726,89.38843984496563
44,0.08757389488172328,1,370.278707479,0,278.7157498580163,16.595875308348628,28.98083448819211,89.41196395216741,57.90612805986389,22.669975989978358,90.66722886655647
45,0.10884766423168878,1,138.18781747,0,114.71248887786959,34.6851431271329,45.337203937642286,74.86829899512819,43.950246030870474,20.18736086234777,2.3610775475969765
46,0.0876825597086899,1,751.156875881,0,303.6323835998359,12.462871877257246,29.413074429115802,88.55574001959837,60.08768306079653,24.644702944504136,93.10309101847469
47,0.08773892340608024,1,563.219010516,0,268.27607622730096,17.96073193801098,27.77364420354445,84.40965025454152,58.67918631716738,26.109752678897024,89.23039711316233
48,0.08756181137565162,1,835.216002943,0,295.76676307581334,13.672361655633473,28.550496018444232,89.39835916287178,60.591760385186674,22.034848741823286,92.34772226388435
49,0.08756466010638578,1,369.494262659,0,311.0037407602635,11.280311900694567,28.708803359277915,89.68965623430154,58.90914215155772,24.61922517144013,94.43394623595874
50,0.08757659111946389,1,440.634454735,0,279.23904307801297,16.067502141767847,28.106639745004138,87.43683655196159,58.77454473355567,23.59547528389715,90.31161063253481
51,0.08755992401827449,1,657.134253503,0,314.2382387066503,10.552449311319817,29.21811094307825,90.12494477035537,59.63348934221989,24.057554582070946,94.00265752388691
52,0.08768250737323653,1,578.04582423,0,304.09964641320386,12.35917779499101,29.38268575777392,88.59141916641015,60.14689062776903,24.621309953735715,93.11958140791666
53,0.0875865225092673,1,502.508630643,0,280.0654473654776,15.766185950137599,28.219394848016375,87.93718762346212,60.22365225888915,21.810036532273514,90.53604775253783
54,0.08759536503390612,1,493.732101256,0,279.196762394756,16.237481033277103,27.113070668462214,86.26862846168001,57.48714787165044,23.70341995473481,91.44924119893247
55,0.08757114134881876,1,587.604990397,0,288.57222328064535,14.63599372629955,28.585581349070228,88.34193518332327,60.24434809107366,21.80261060535401,91.31940948968837
56,0.08760386704311449,1,725.054024992,0,274.85218180029057,16.80668396956557,27.96768586983398,87.2042479741284,60.213238329799985,21.626847448446828,89.9163895444232
57,0.0875605930114716,1,397.882181161,0,287.4545952925512,14.76425125471173,29.326168010955424,88.20605510394753,58.94437905353816,21.919765003565885,91.11309303958356
58,0.08768252222482922,1,850.471061313,0,303.94185594871715,12.417954395553403,29.43230137660283,88.62470261980758,60.1321399832811,24.63930919454131,93.13828123047136
59,0.08768260435244171,1,1149.389039216,0,305.8583492832811,12.129840210830949,29.462702209885496,88.94874047196753,60.368799920925376,24.53291461810327,93.39549549215926
60,0.08755623473276868,1,376.222989146,0,300.6943177672797,12.933988926304446,27.53113542620422,89.28000182138712,59.438975974247754,23.992269913781364,94.04882102328732
61,0.08765536940420489,1,1784.75363485,0,287.75327038218666,15.329050294740442,29.46573876632504,87.30079955230913,55.810159591533086,26.54105703775977,91.99874080932943
62,0.08759807535344329,1,376.24099505,0,272.3593657173483,17.265256174472157,27.888374551462118,87.58820066636609,59.2238924578711,23.590821173207566,89.73763888399338
63,0.08777267786223106,0,7239.320135945,0,297.04010569091935,13.234597905833933,28.9014335856366,96.16365882232292,55.38182894937117,23.012722671618626,92.2146434624564
64,0.08769383317233546,1,6438.855731949,0,285.4441842077445,15.232259784526114,28.553097801100222,86.88588195303915,60.533873486490286,24.498446345369988,91.15531766054261
65,0.08766810339757744,1,538.990033044,0,256.31839656180006,19.429054135833645,26.7091580967342,85.58484892549914,58.08519103202748,23.29433992422477,87.59836366201677
66,0.08764633299582553,1,502.654876848,0,261.0703499161473,18.806712775890436,27.05733872652602,84.93752758778463,57.4946751143562,22.95753441570699,88.12939389315395
67,0.08754795266174292,1,525.239056324,0,297.6005256761622,13.31594266211071,29.053179074819464,89.04520430470201,59.08328156103451,24.290943230958636,92.39762729813857
68,0.08769194422923307,1,754.123616289,0,300.7248613786923,12.969181147328934,29.086739663993622,88.23764124240189,58.711770315792116,27.210693136895753,92.88672396628888
69,0.08770394584496435,1,678.393531784,0,281.69860879405593,15.815589444284349,28.449404793492942,85.39513999640297,58.372610697074556,26.32642274854627,90.64344107760746
70,0.08756622882106459,1,369.250261985,0,286.1706358058773,15.144428633090513,28.568287057206707,87.04134610819575,58.20004070312517,23.389834668525683,91.2263710435489
71,0.08765457412002899,1,450.557086249,0,259.3287184372661,19.248003835436943,27.220145140323986,85.87511775826526,58.011900287844426,23.593739750338983,88.16969021528155
72,0.08768251001854754,1,336.81564332,0,304.55261254078323,12.268911526344237,29.37580097950939,88.64413779257778,60.21730268880162,24.622238889295915,93.14012097133272
73,0.0875579600928432,1,933.121124008,0,296.08134356061294,13.568944140280328,29.027659206527353,89.53944418879006,60.57123380715473,22.08565606852345,92.25245320247463
74,0.0875438422561667,1,611.717933022,0,305.28174926547933,12.136360592948659,28.670407999131292,90.07255320276656,58.481025769634705,22.356102509811933,93.30797344945944
75,0.08758620756988451,1,537.758585642,0,280.6085474092161,15.96647332254929,28.309257426533428,87.94996480990432,60.412224763002484,21.783362135621047,90.61924046432202
