moment,alpha,gamma,fe_late,beta_e,beta_l,sigma_dt,mu
dt1,-1.0142789768637127e-6,-4.5020958248047597e-7,1.2117760401684525e-6,-2.448737253957835e-6,-6.951530641819423e-7,8.474223495545444e-6,1.7485041465947407e-6
dt2,-5.807791663516056e-7,-4.675339439574479e-7,1.0161936898434085e-6,-5.375110129052359e-6,-2.4048661307765757e-6,2.2547760511829042e-5,1.5773140053524248e-6
dt3,-4.259189417560419e-7,-3.5299248854813806e-7,5.61467820626454e-7,-1.0489129333195374e-5,-4.429568440354815e-6,3.6715105054804133e-5,1.9224568517975176e-6
dt4,6.943370618201028e-7,-3.310842971789675e-7,3.7205747743064957e-7,-2.328524215099115e-5,-9.167604900014907e-6,7.440074870894226e-5,2.6065979016506188e-6
dt5,2.7225209851818368e-6,-7.690848217950443e-7,3.3261120814761397e-7,-4.949354777072027e-5,-1.7414367042209e-5,0.00012042691728186043,4.231130988147721e-6
dt6,8.071807965315517e-6,-2.386272385718304e-6,1.5371359980084254e-6,-0.00010781384517709963,-3.215549800645248e-5,0.0001374935384399757,6.5146840956291685e-6
dt7,1.231225881162194e-5,-7.904659424390512e-6,6.8706368875675235e-6,-0.00022500969028031655,-4.790368366693707e-5,-0.00029845970748711343,1.8289968024641708e-5
dt8,7.431641107541819e-6,-8.40075139561129e-6,1.047211893537405e-5,-0.0001523125977975118,-2.2806505784795676e-5,7.798515679383727e-5,1.4745163842663724e-5
dt9,-1.1703636067860188e-5,-6.6397421875194345e-6,2.0019820374494627e-5,-8.031325350566644e-5,-3.5600657510363434e-5,0.00011007607621318815,5.752797755475474e-6
dt10,1.0687347997006997e-5,8.138138673161738e-6,-2.4664656767885173e-5,-3.5322864563771173e-6,-3.651350840119091e-5,4.452289425102283e-5,-2.6612977327064833e-5
dt11,-1.0257138101709112e-6,7.085771234965645e-6,-2.1102513044557442e-5,7.806026031724085e-6,-3.0336578700149172e-6,0.00014086226453369132,-2.012715615841017e-5
dt12,-3.4918098113845804e-7,6.1340881229680275e-6,-9.547023227686749e-6,6.507578213160359e-5,-9.531275881829374e-6,-1.9593859888875992e-5,-1.4890463333642056e-5
dt13,-5.8581855489836015e-6,5.837791764477416e-6,8.547790297110757e-7,0.0001158496477522415,-2.3822863222910578e-5,3.8237656080234526e-5,-1.1774364300604944e-5
dt14,-7.378314341874643e-6,4.820849365941107e-6,7.925663792879967e-7,0.00012373329128762887,4.342049860041349e-6,-9.409692195784988e-5,-1.1811028997395535e-5
dt15,-4.064540317278822e-6,-6.084711901178652e-7,4.0022308391701445e-6,8.02559210578032e-5,2.1392300403129863e-5,4.385120144653668e-5,2.132678459999265e-6
dt16,-7.547918682303624e-6,-2.3812865473202005e-6,5.053710743181461e-6,6.344041028068072e-5,3.9515618789665846e-5,-0.0001057404949856033,9.591165914846208e-6
dt17,-1.1555302679772145e-6,-1.0936497020239078e-6,2.1357937285809838e-6,3.121927187896868e-5,7.182911695089963e-5,-7.983386448013714e-5,9.030637158543967e-6
dt18,-3.22500919555057e-6,5.291943305488165e-7,-5.574232016583294e-7,5.1367264016316104e-5,3.8433362818491786e-5,-8.602190734591674e-5,5.245210921604704e-6
dt19,3.925513333527809e-7,1.1387589430215755e-6,-1.6332752186513412e-6,3.0639198807779e-5,4.837198280001992e-5,4.3596546329584634e-5,1.4302586252600514e-6
dt20,-1.194320486341383e-6,1.4509654607745087e-6,-1.561682726323292e-6,3.133481318006484e-5,3.743624581057139e-5,-5.6169007355700674e-5,-5.342967788676736e-7
dt21,-1.4348892323381264e-6,7.772026674426745e-7,-7.140600039719732e-7,2.0668760660908175e-5,2.9790416671141798e-5,-6.02447217214069e-5,-5.760799737758952e-7
dt22,-1.8040595954299807e-6,7.87936388469338e-8,-2.535918427495073e-7,1.2478503507822326e-5,2.4498683133970414e-5,-4.44619684325209e-5,-1.1806519419307789e-7
dt23,-1.8064615163532372e-6,-1.9942702845804802e-7,8.34349378561528e-8,7.048563796530467e-6,2.0986785260494974e-5,-3.0255790060644495e-5,2.4685245075377354e-8
dt24,-1.9509255390503233e-6,-1.4508669939997753e-7,1.8247402659320106e-7,4.219325793667225e-6,2.0653973487450533e-5,-2.211568114883295e-5,-2.6942500452464165e-7
dt25,-1.9111825948912466e-6,-8.673403926815987e-9,2.2564482216674902e-7,3.1768485129884036e-6,2.3190935175241875e-5,-2.1538954954120815e-5,-8.370430165916512e-7
dt26,-2.1413621824909888e-6,1.7270932303962436e-7,5.7712019489554044e-8,3.2594627625485967e-6,3.124489280183602e-5,-2.700086482891032e-5,-1.4528791236053552e-6
dt27,-2.4867642905741506e-6,3.4378902597344234e-7,-4.330340641040471e-8,4.116610273640786e-6,4.5105192284446804e-5,-3.731357790231601e-5,-1.907861404694134e-6
dt28,-2.9979722700412136e-6,5.001318298471678e-7,-9.52743022013197e-8,5.657952789204943e-6,6.402560420332973e-5,-4.656881329529983e-5,-2.256805072881818e-6
dt29,-3.160254273550479e-6,5.998912642281633e-7,3.910006482251932e-7,7.216931071011626e-6,8.21108894650298e-5,-4.731736807321769e-5,-2.5071834943371953e-6
