moment,alpha,gamma,fe_late,mu
late 0,-0.0002617844764705846,-0.00031298738391848444,3.5339101873989226e-20,0.0013381608459478124
late 1,-0.00032918059276522605,-0.00027772047800162463,5.521734667810817e-22,0.0012918689609466877
late 2,-0.0004285337977428838,-0.000274874448572985,4.1965183475362206e-20,0.0011509872552261271
late 3,-0.0006285780000426504,-0.00040787787991785983,1.1043469335621633e-21,0.0016196356022702219
late 4,-0.000852465676081135,-0.0012485475501947947,1.1043469335621633e-21,0.000991564131724324
early 0,-0.0002467671570134704,-0.00032728118683081087,0.0007165225750856919,0.001450805981441936
early 1,-0.0008130190341624243,-0.001385480778978172,0.0014293955009555596,0.001377328638600023
early 2,-0.000586712439493806,-0.0004160428131665635,0.0011470892085640929,0.0014323390808012508
early 3,-0.0004900684950862058,-0.00027786112330421787,0.0010451841386224633,0.001070985652289007
early 4,-0.00030777920951693575,-0.0002049217499439889,0.0006027371149253533,0.0011483215386189096
