iteration,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
1,140.6299638797481,94.34937324596045,0.0,0.0,0.0,0.0,0.0,68.37736001279791,54.09561711938229,20.286187517626324,15.528688012953173
2,131.92008435733007,145.41592624784622,0.0,0.0,0.0,0.0,0.0,44.322005721307136,65.19334295068735,26.0471428227499,31.904733405229603
3,107.1820601742235,103.90282084391234,0.0,0.0,0.0,0.0,0.0,27.1434862219595,54.86436788752722,17.39502869838147,27.95144783748417
4,80.07677781923994,120.59700372768009,0.0,0.0,0.0,0.0,0.0,52.317840202201246,44.18161994398536,24.68945220376241,15.060129944463066
5,72.72103995730053,95.6811892542813,0.0,0.0,0.0,0.0,0.0,59.48560502188999,30.29079315337919,19.49723328159796,17.39590759552164
6,52.905653475567725,144.23282010030016,0.0,0.0,0.0,0.0,0.0,51.74575021758678,27.964311368854005,24.118911543890178,28.177687266503405
7,127.06171687234627,72.74551050971459,0.0,0.0,0.0,0.0,0.0,63.01023522552993,43.58440073685774,15.674412145108732,18.067014414228446
8,143.44190660738266,117.79740716555894,0.0,0.0,0.0,0.0,0.0,37.35992324238725,38.212095190782215,15.224190903455618,26.014159458845874
9,61.387277508101135,141.09813403983424,0.0,0.0,0.0,0.0,0.0,50.19836068347458,67.26131268202276,21.54577137643403,15.616412746545826
10,79.53463724522915,75.46272981131051,0.0,0.0,0.0,0.0,0.0,60.31334529070308,64.7795796544139,36.52459003242849,13.262118686293336
11,107.31472693843575,57.60847553509968,0.0,0.0,0.0,0.0,0.0,49.40848770238151,59.87776687850681,16.431253338428377,31.652606412491984
12,88.52280840523531,129.89341784834795,0.0,0.0,0.0,0.0,0.0,53.94944576416373,48.58451212372804,27.036827873689745,28.759403874008747
13,140.68639648171674,141.7110087239348,0.0,0.0,0.0,0.0,0.0,39.27456981043157,35.60764446930198,17.185884658138114,28.885742137553216
14,52.77464634113738,140.5408717310165,0.0,0.0,0.0,0.0,0.0,31.03320658195922,59.782749775168334,13.342114304401633,35.71431681622702
15,96.07108841991389,96.20023899385444,0.0,0.0,0.0,0.0,0.0,29.520615414577016,62.792825238070215,17.399123389305203,26.723998733656295
16,114.0234251808741,54.37648420402,0.0,0.0,0.0,0.0,0.0,61.722614874458195,46.843044601257375,34.36387261123966,21.618337546360603
17,59.01417472727384,59.35946698618412,0.0,0.0,0.0,0.0,0.0,58.20189162987865,67.33550988749066,33.83093111801105,36.65971620496099
18,129.7482906888787,145.68158168025514,0.0,0.0,0.0,0.0,0.0,29.579337007492768,41.6015234997564,17.152123875239052,27.856317549165066
19,114.65093846956313,112.44469744953274,0.0,0.0,0.0,0.0,0.0,47.5054377619382,52.09568623565273,37.29650124131154,26.567720557130524
20,59.03438872519341,80.40183960773886,0.0,0.0,0.0,0.0,0.0,63.104529156829315,26.707521637859056,32.1730909524571,28.024181015307033
21,68.14532397905309,69.38224108634891,0.0,0.0,0.0,0.0,0.0,33.10531806399811,54.48899468171573,30.562717744477958,15.266170608996399
22,74.59832050746063,128.2081225590627,0.0,0.0,0.0,0.0,0.0,44.084582959255755,65.4419768057123,35.25246153242206,16.106730754506266
23,115.90479687527571,129.6998641155382,0.0,0.0,0.0,0.0,0.0,69.16111728747785,40.2670758725986,35.69590971229697,18.498018444800785
24,117.25038913429626,121.37204746851428,0.0,0.0,0.0,0.0,0.0,69.8128253108114,69.00888206416842,33.89939609687359,13.93998260133256
25,96.71057854000917,57.75482131315584,0.0,0.0,0.0,0.0,0.0,38.176563029046086,46.66074270798344,31.192366718599292,37.325020759901626
26,70.13533925820956,59.53976459200544,0.0,0.0,0.0,0.0,0.0,44.9890617977979,62.51218136990448,22.401765437992143,13.138408996838294
27,66.36729669474958,91.81376111536757,0.0,0.0,0.0,0.0,0.0,57.99180855934114,32.17498438806617,13.556839824500727,30.10261797385658
28,118.71688846427104,75.25288674662853,0.0,0.0,0.0,0.0,0.0,44.31531694197698,35.20547589721967,29.042576817488385,31.928287438223524
29,71.54777665399583,125.73032591112249,0.0,0.0,0.0,0.0,0.0,46.9855997949422,36.420689002306425,20.854024577595272,24.55747043846759
30,57.423164910472316,130.8565500790949,0.0,0.0,0.0,0.0,0.0,56.58914949329314,35.134570041949026,36.560977063869,30.122595902020034
31,69.52250396826025,90.85020202269017,0.0,0.0,0.0,0.0,0.0,36.254292179403166,36.21737145634412,29.88568177313553,20.220171397882968
32,141.79622143475495,102.6539801033802,0.0,0.0,0.0,0.0,0.0,27.317678889976037,41.81787924826524,13.200337929688075,36.43364973862695
33,107.49696169585512,79.2934071651961,0.0,0.0,0.0,0.0,0.0,31.73767917151214,27.56937724069613,33.79975607281698,20.642391580496632
34,138.36594206594657,71.89845527173534,0.0,0.0,0.0,0.0,0.0,39.85413125007436,64.58742793313078,27.602649397267864,33.22476664854166
