uidp,mean_km,dist_mode,dist_mean,norm_mean,norm_sd,pk_am,inverse_income_with_pred,a,be,bl,sig,mu,idx,ha
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,611.2066917796733,544.5562385814335,347.51066459881906,15.106367114717619,42.75567969935308,1,10.416666666666666
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,611.2066917796733,544.5562385814335,347.51066459881906,15.106367114717619,42.75567969935308,1,8.916666666666666
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,611.2066917796733,544.5562385814335,347.51066459881906,15.106367114717619,42.75567969935308,1,10.75
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,611.2066917796733,544.5562385814335,347.51066459881906,15.106367114717619,42.75567969935308,1,9.083333333333334
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,611.2066917796733,544.5562385814335,347.51066459881906,15.106367114717619,42.75567969935308,1,9.5
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,611.2066917796733,544.5562385814335,347.51066459881906,15.106367114717619,42.75567969935308,1,10.0
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,611.2066917796733,544.5562385814335,347.51066459881906,15.106367114717619,42.75567969935308,1,9.25
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,611.2066917796733,544.5562385814335,347.51066459881906,15.106367114717619,42.75567969935308,1,9.333333333333334
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,611.2066917796733,544.5562385814335,347.51066459881906,15.106367114717619,42.75567969935308,1,10.25
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,611.2066917796733,544.5562385814335,347.51066459881906,15.106367114717619,42.75567969935308,1,11.666666666666666
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,611.2066917796733,544.5562385814335,347.51066459881906,3.630828988691832,10.27636625700632,2,12.0
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,611.2066917796733,544.5562385814335,347.51066459881906,3.630828988691832,10.27636625700632,2,10.916666666666666
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,611.2066917796733,544.5562385814335,347.51066459881906,3.630828988691832,10.27636625700632,2,9.5
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,611.2066917796733,544.5562385814335,347.51066459881906,3.630828988691832,10.27636625700632,2,11.166666666666666
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,611.2066917796733,544.5562385814335,347.51066459881906,3.630828988691832,10.27636625700632,2,10.166666666666666
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,611.2066917796733,544.5562385814335,347.51066459881906,3.630828988691832,10.27636625700632,2,10.25
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,611.2066917796733,544.5562385814335,347.51066459881906,3.630828988691832,10.27636625700632,2,11.5
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,611.2066917796733,544.5562385814335,347.51066459881906,3.630828988691832,10.27636625700632,2,9.333333333333334
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,611.2066917796733,544.5562385814335,347.51066459881906,3.630828988691832,10.27636625700632,2,9.416666666666666
