uidp,mean_km,dist_mode,dist_mean,norm_mean,norm_sd,pk_am,inverse_income_with_pred,a,be,bl,sig,mu,idx,ha
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,14.710721871152911,42.67779503740056,1,10.333333333333334
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,14.710721871152911,42.67779503740056,1,9.666666666666666
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,14.710721871152911,42.67779503740056,1,9.916666666666666
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,14.710721871152911,42.67779503740056,1,9.333333333333334
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,14.710721871152911,42.67779503740056,1,10.166666666666666
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,14.710721871152911,42.67779503740056,1,9.833333333333334
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,14.710721871152911,42.67779503740056,1,9.25
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,14.710721871152911,42.67779503740056,1,10.5
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,14.710721871152911,42.67779503740056,1,10.083333333333334
L0202100848,8.1592512,6.802,6.802,-0.87010795,0.62576079,10.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,14.710721871152911,42.67779503740056,1,10.0
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,605.7415215522178,545.4421289339886,346.64210276061016,3.535735296829066,10.25764660811627,2,11.416666666666666
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,605.7415215522178,545.4421289339886,346.64210276061016,3.535735296829066,10.25764660811627,2,11.833333333333334
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,605.7415215522178,545.4421289339886,346.64210276061016,3.535735296829066,10.25764660811627,2,10.916666666666666
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,605.7415215522178,545.4421289339886,346.64210276061016,3.535735296829066,10.25764660811627,2,10.5
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,605.7415215522178,545.4421289339886,346.64210276061016,3.535735296829066,10.25764660811627,2,11.0
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,605.7415215522178,545.4421289339886,346.64210276061016,3.535735296829066,10.25764660811627,2,12.5
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,605.7415215522178,545.4421289339886,346.64210276061016,3.535735296829066,10.25764660811627,2,10.166666666666666
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,605.7415215522178,545.4421289339886,346.64210276061016,3.535735296829066,10.25764660811627,2,10.416666666666666
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,605.7415215522178,545.4421289339886,346.64210276061016,3.535735296829066,10.25764660811627,2,10.083333333333334
L0204115017,1.9610834,1.791,1.791,0.0,1.0,10.5,0.75512034,605.7415215522178,545.4421289339886,346.64210276061016,3.535735296829066,10.25764660811627,2,9.333333333333334
L0208084657,6.7074308,6.294,6.2940001,-1.2838426,0.62126023,10.5,1.3592167,605.7415215522178,545.4421289339886,346.64210276061016,12.093162295187659,35.08390045767283,3,8.166666666666666
L0208084657,6.7074308,6.294,6.2940001,-1.2838426,0.62126023,10.5,1.3592167,605.7415215522178,545.4421289339886,346.64210276061016,12.093162295187659,35.08390045767283,3,10.833333333333334
L0208084657,6.7074308,6.294,6.2940001,-1.2838426,0.62126023,10.5,1.3592167,605.7415215522178,545.4421289339886,346.64210276061016,12.093162295187659,35.08390045767283,3,9.166666666666666
L0208084657,6.7074308,6.294,6.2940001,-1.2838426,0.62126023,10.5,1.3592167,605.7415215522178,545.4421289339886,346.64210276061016,12.093162295187659,35.08390045767283,3,10.25
L0208084657,6.7074308,6.294,6.2940001,-1.2838426,0.62126023,10.5,1.3592167,605.7415215522178,545.4421289339886,346.64210276061016,12.093162295187659,35.08390045767283,3,9.333333333333334
L0208084657,6.7074308,6.294,6.2940001,-1.2838426,0.62126023,10.5,1.3592167,605.7415215522178,545.4421289339886,346.64210276061016,12.093162295187659,35.08390045767283,3,9.75
L0208084657,6.7074308,6.294,6.2940001,-1.2838426,0.62126023,10.5,1.3592167,605.7415215522178,545.4421289339886,346.64210276061016,12.093162295187659,35.08390045767283,3,8.833333333333334
L0208084657,6.7074308,6.294,6.2940001,-1.2838426,0.62126023,10.5,1.3592167,605.7415215522178,545.4421289339886,346.64210276061016,12.093162295187659,35.08390045767283,3,8.5
L0208084657,6.7074308,6.294,6.2940001,-1.2838426,0.62126023,10.5,1.3592167,605.7415215522178,545.4421289339886,346.64210276061016,12.093162295187659,35.08390045767283,3,10.0
L0208084657,6.7074308,6.294,6.2940001,-1.2838426,0.62126023,10.5,1.3592167,605.7415215522178,545.4421289339886,346.64210276061016,12.093162295187659,35.08390045767283,3,7.833333333333333
L0208111357,10.831003,11.519,11.519,0.90265155,0.15832995,9.5,0.29371557,605.7415215522178,545.4421289339886,346.64210276061016,19.527756752803835,56.65266514695252,4,11.0
L0208111357,10.831003,11.519,11.519,0.90265155,0.15832995,9.5,0.29371557,605.7415215522178,545.4421289339886,346.64210276061016,19.527756752803835,56.65266514695252,4,11.0
L0208111357,10.831003,11.519,11.519,0.90265155,0.15832995,9.5,0.29371557,605.7415215522178,545.4421289339886,346.64210276061016,19.527756752803835,56.65266514695252,4,10.916666666666666
L0208111357,10.831003,11.519,11.519,0.90265155,0.15832995,9.5,0.29371557,605.7415215522178,545.4421289339886,346.64210276061016,19.527756752803835,56.65266514695252,4,11.083333333333334
L0208111357,10.831003,11.519,11.519,0.90265155,0.15832995,9.5,0.29371557,605.7415215522178,545.4421289339886,346.64210276061016,19.527756752803835,56.65266514695252,4,11.083333333333334
L0208111357,10.831003,11.519,11.519,0.90265155,0.15832995,9.5,0.29371557,605.7415215522178,545.4421289339886,346.64210276061016,19.527756752803835,56.65266514695252,4,11.166666666666666
L0208111357,10.831003,11.519,11.519,0.90265155,0.15832995,9.5,0.29371557,605.7415215522178,545.4421289339886,346.64210276061016,19.527756752803835,56.65266514695252,4,10.833333333333334
L0208111357,10.831003,11.519,11.519,0.90265155,0.15832995,9.5,0.29371557,605.7415215522178,545.4421289339886,346.64210276061016,19.527756752803835,56.65266514695252,4,11.0
L0208111357,10.831003,11.519,11.519,0.90265155,0.15832995,9.5,0.29371557,605.7415215522178,545.4421289339886,346.64210276061016,19.527756752803835,56.65266514695252,4,11.25
L0208111357,10.831003,11.519,11.519,0.90265155,0.15832995,9.5,0.29371557,605.7415215522178,545.4421289339886,346.64210276061016,19.527756752803835,56.65266514695252,4,11.0
L0208192703,7.3786578,7.898,7.8979998,-0.76590323,0.21273321,10.166667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,13.303351008265688,38.59482169632391,5,10.083333333333334
L0208192703,7.3786578,7.898,7.8979998,-0.76590323,0.21273321,10.166667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,13.303351008265688,38.59482169632391,5,10.166666666666666
L0208192703,7.3786578,7.898,7.8979998,-0.76590323,0.21273321,10.166667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,13.303351008265688,38.59482169632391,5,10.0
L0208192703,7.3786578,7.898,7.8979998,-0.76590323,0.21273321,10.166667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,13.303351008265688,38.59482169632391,5,9.666666666666666
L0208192703,7.3786578,7.898,7.8979998,-0.76590323,0.21273321,10.166667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,13.303351008265688,38.59482169632391,5,10.0
L0208192703,7.3786578,7.898,7.8979998,-0.76590323,0.21273321,10.166667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,13.303351008265688,38.59482169632391,5,9.916666666666666
L0208192703,7.3786578,7.898,7.8979998,-0.76590323,0.21273321,10.166667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,13.303351008265688,38.59482169632391,5,10.333333333333334
L0208192703,7.3786578,7.898,7.8979998,-0.76590323,0.21273321,10.166667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,13.303351008265688,38.59482169632391,5,10.0
L0208192703,7.3786578,7.898,7.8979998,-0.76590323,0.21273321,10.166667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,13.303351008265688,38.59482169632391,5,10.0
L0208192703,7.3786578,7.898,7.8979998,-0.76590323,0.21273321,10.166667,0.97086877,605.7415215522178,545.4421289339886,346.64210276061016,13.303351008265688,38.59482169632391,5,9.916666666666666
L0209101737,7.0299411,8.873,9.3838816,0.0,1.0,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,12.674632237414967,36.770823453848095,6,10.333333333333334
L0209101737,7.0299411,8.873,9.3838816,0.0,1.0,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,12.674632237414967,36.770823453848095,6,9.666666666666666
L0209101737,7.0299411,8.873,9.3838816,0.0,1.0,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,12.674632237414967,36.770823453848095,6,9.0
L0209101737,7.0299411,8.873,9.3838816,0.0,1.0,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,12.674632237414967,36.770823453848095,6,9.416666666666666
L0209101737,7.0299411,8.873,9.3838816,0.0,1.0,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,12.674632237414967,36.770823453848095,6,10.25
L0209101737,7.0299411,8.873,9.3838816,0.0,1.0,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,12.674632237414967,36.770823453848095,6,10.333333333333334
L0209101737,7.0299411,8.873,9.3838816,0.0,1.0,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,12.674632237414967,36.770823453848095,6,9.333333333333334
L0209101737,7.0299411,8.873,9.3838816,0.0,1.0,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,12.674632237414967,36.770823453848095,6,11.25
L0209101737,7.0299411,8.873,9.3838816,0.0,1.0,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,12.674632237414967,36.770823453848095,6,10.5
L0209101737,7.0299411,8.873,9.3838816,0.0,1.0,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,12.674632237414967,36.770823453848095,6,9.75
L0209112655,4.2264585,4.339,4.3390002,0.80419195,0.82975614,10.5,0.19417374,605.7415215522178,545.4421289339886,346.64210276061016,7.620093311193817,22.10692196816779,7,10.5
L0209112655,4.2264585,4.339,4.3390002,0.80419195,0.82975614,10.5,0.19417374,605.7415215522178,545.4421289339886,346.64210276061016,7.620093311193817,22.10692196816779,7,11.583333333333334
L0209112655,4.2264585,4.339,4.3390002,0.80419195,0.82975614,10.5,0.19417374,605.7415215522178,545.4421289339886,346.64210276061016,7.620093311193817,22.10692196816779,7,11.333333333333334
L0209112655,4.2264585,4.339,4.3390002,0.80419195,0.82975614,10.5,0.19417374,605.7415215522178,545.4421289339886,346.64210276061016,7.620093311193817,22.10692196816779,7,10.333333333333334
L0209112655,4.2264585,4.339,4.3390002,0.80419195,0.82975614,10.5,0.19417374,605.7415215522178,545.4421289339886,346.64210276061016,7.620093311193817,22.10692196816779,7,10.833333333333334
L0209112655,4.2264585,4.339,4.3390002,0.80419195,0.82975614,10.5,0.19417374,605.7415215522178,545.4421289339886,346.64210276061016,7.620093311193817,22.10692196816779,7,11.166666666666666
L0209112655,4.2264585,4.339,4.3390002,0.80419195,0.82975614,10.5,0.19417374,605.7415215522178,545.4421289339886,346.64210276061016,7.620093311193817,22.10692196816779,7,10.583333333333334
L0209112655,4.2264585,4.339,4.3390002,0.80419195,0.82975614,10.5,0.19417374,605.7415215522178,545.4421289339886,346.64210276061016,7.620093311193817,22.10692196816779,7,11.0
L0209112655,4.2264585,4.339,4.3390002,0.80419195,0.82975614,10.5,0.19417374,605.7415215522178,545.4421289339886,346.64210276061016,7.620093311193817,22.10692196816779,7,12.166666666666666
L0209112655,4.2264585,4.339,4.3390002,0.80419195,0.82975614,10.5,0.19417374,605.7415215522178,545.4421289339886,346.64210276061016,7.620093311193817,22.10692196816779,7,11.5
L0209192746,18.227434,16.288,16.563494,-2.3744442,0.093102388,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,32.8631519518355,95.3404513774188,8,7.916666666666667
L0209192746,18.227434,16.288,16.563494,-2.3744442,0.093102388,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,32.8631519518355,95.3404513774188,8,7.916666666666667
L0209192746,18.227434,16.288,16.563494,-2.3744442,0.093102388,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,32.8631519518355,95.3404513774188,8,7.916666666666667
L0209192746,18.227434,16.288,16.563494,-2.3744442,0.093102388,9.5,0.37756038,605.7415215522178,545.4421289339886,346.64210276061016,32.8631519518355,95.3404513774188,8,8.0
