uidp,mean_km,dist_mode,dist_mean,norm_mean,norm_sd,pk_am,inverse_income_with_pred,a,be,bl,sig,mu,idx,ha
L0523145743_E000,7.8034873,8.141,8.1409998,0.72821426,1.037302,10.0,0.97086877,467.547802474804,368.65441680191395,240.35487788208462,10.794355058461601,38.39977218312047,1,13.166666666666666
L0523145743_E000,7.8034873,8.141,8.1409998,0.72821426,1.037302,10.0,0.97086877,467.547802474804,368.65441680191395,240.35487788208462,10.794355058461601,38.39977218312047,1,11.75
L0523145743_E000,7.8034873,8.141,8.1409998,0.72821426,1.037302,10.0,0.97086877,467.547802474804,368.65441680191395,240.35487788208462,10.794355058461601,38.39977218312047,1,12.0
L0523145743_E000,7.8034873,8.141,8.1409998,0.72821426,1.037302,10.0,0.97086877,467.547802474804,368.65441680191395,240.35487788208462,10.794355058461601,38.39977218312047,1,12.666666666666666
L0523145743_E000,7.8034873,8.141,8.1409998,0.72821426,1.037302,10.0,0.97086877,467.547802474804,368.65441680191395,240.35487788208462,10.794355058461601,38.39977218312047,1,10.25
L0523145743_E000,7.8034873,8.141,8.1409998,0.72821426,1.037302,10.0,0.97086877,467.547802474804,368.65441680191395,240.35487788208462,10.794355058461601,38.39977218312047,1,11.0
L0523145743_E000,7.8034873,8.141,8.1409998,0.72821426,1.037302,10.0,0.97086877,467.547802474804,368.65441680191395,240.35487788208462,10.794355058461601,38.39977218312047,1,11.833333333333334
L0523145743_E000,7.8034873,8.141,8.1409998,0.72821426,1.037302,10.0,0.97086877,467.547802474804,368.65441680191395,240.35487788208462,10.794355058461601,38.39977218312047,1,12.166666666666666
L0523145743_E000,7.8034873,8.141,8.1409998,0.72821426,1.037302,10.0,0.97086877,467.547802474804,368.65441680191395,240.35487788208462,10.794355058461601,38.39977218312047,1,10.916666666666666
L0523145743_E000,7.8034873,8.141,8.1409998,0.72821426,1.037302,10.0,0.97086877,467.547802474804,368.65441680191395,240.35487788208462,10.794355058461601,38.39977218312047,1,11.333333333333334
L0413153556,8.7606258,8.214,8.2139997,0.0,1.0,9.5,2.3540342,467.547802474804,368.65441680191395,240.35487788208462,12.118339119936701,43.10970492661243,2,10.75
L0413153556,8.7606258,8.214,8.2139997,0.0,1.0,9.5,2.3540342,467.547802474804,368.65441680191395,240.35487788208462,12.118339119936701,43.10970492661243,2,10.0
L0413153556,8.7606258,8.214,8.2139997,0.0,1.0,9.5,2.3540342,467.547802474804,368.65441680191395,240.35487788208462,12.118339119936701,43.10970492661243,2,10.916666666666666
L0413153556,8.7606258,8.214,8.2139997,0.0,1.0,9.5,2.3540342,467.547802474804,368.65441680191395,240.35487788208462,12.118339119936701,43.10970492661243,2,10.083333333333334
L0413153556,8.7606258,8.214,8.2139997,0.0,1.0,9.5,2.3540342,467.547802474804,368.65441680191395,240.35487788208462,12.118339119936701,43.10970492661243,2,9.583333333333334
L0413153556,8.7606258,8.214,8.2139997,0.0,1.0,9.5,2.3540342,467.547802474804,368.65441680191395,240.35487788208462,12.118339119936701,43.10970492661243,2,9.0
L0413153556,8.7606258,8.214,8.2139997,0.0,1.0,9.5,2.3540342,467.547802474804,368.65441680191395,240.35487788208462,12.118339119936701,43.10970492661243,2,10.083333333333334
L0413153556,8.7606258,8.214,8.2139997,0.0,1.0,9.5,2.3540342,467.547802474804,368.65441680191395,240.35487788208462,12.118339119936701,43.10970492661243,2,9.25
L0413153556,8.7606258,8.214,8.2139997,0.0,1.0,9.5,2.3540342,467.547802474804,368.65441680191395,240.35487788208462,12.118339119936701,43.10970492661243,2,10.083333333333334
L0413153556,8.7606258,8.214,8.2139997,0.0,1.0,9.5,2.3540342,467.547802474804,368.65441680191395,240.35487788208462,12.118339119936701,43.10970492661243,2,8.583333333333334
L0515140017_1614,21.810308,21.507,21.507,-1.4440277,0.42095292,9.5,0.37756038,467.547802474804,368.65441680191395,240.35487788208462,30.16961512661212,107.3252029824781,3,9.25
L0515140017_1614,21.810308,21.507,21.507,-1.4440277,0.42095292,9.5,0.37756038,467.547802474804,368.65441680191395,240.35487788208462,30.16961512661212,107.3252029824781,3,9.0
L0515140017_1614,21.810308,21.507,21.507,-1.4440277,0.42095292,9.5,0.37756038,467.547802474804,368.65441680191395,240.35487788208462,30.16961512661212,107.3252029824781,3,9.0
L0515140017_1614,21.810308,21.507,21.507,-1.4440277,0.42095292,9.5,0.37756038,467.547802474804,368.65441680191395,240.35487788208462,30.16961512661212,107.3252029824781,3,9.666666666666666
L0515140017_1614,21.810308,21.507,21.507,-1.4440277,0.42095292,9.5,0.37756038,467.547802474804,368.65441680191395,240.35487788208462,30.16961512661212,107.3252029824781,3,8.75
L0515140017_1614,21.810308,21.507,21.507,-1.4440277,0.42095292,9.5,0.37756038,467.547802474804,368.65441680191395,240.35487788208462,30.16961512661212,107.3252029824781,3,9.0
L0515140017_1614,21.810308,21.507,21.507,-1.4440277,0.42095292,9.5,0.37756038,467.547802474804,368.65441680191395,240.35487788208462,30.16961512661212,107.3252029824781,3,9.583333333333334
L0515140017_1614,21.810308,21.507,21.507,-1.4440277,0.42095292,9.5,0.37756038,467.547802474804,368.65441680191395,240.35487788208462,30.16961512661212,107.3252029824781,3,9.166666666666666
L0515140017_1614,21.810308,21.507,21.507,-1.4440277,0.42095292,9.5,0.37756038,467.547802474804,368.65441680191395,240.35487788208462,30.16961512661212,107.3252029824781,3,8.583333333333334
L0515140017_1614,21.810308,21.507,21.507,-1.4440277,0.42095292,9.5,0.37756038,467.547802474804,368.65441680191395,240.35487788208462,30.16961512661212,107.3252029824781,3,8.583333333333334
L0504193107_4BC7,19.741356,23.096,23.096001,-0.9994337,0.28730667,9.5,0.48543462,467.547802474804,368.65441680191395,240.35487788208462,27.3076892172928,97.14420538441557,4,9.166666666666666
L0504193107_4BC7,19.741356,23.096,23.096001,-0.9994337,0.28730667,9.5,0.48543462,467.547802474804,368.65441680191395,240.35487788208462,27.3076892172928,97.14420538441557,4,9.333333333333334
L0504193107_4BC7,19.741356,23.096,23.096001,-0.9994337,0.28730667,9.5,0.48543462,467.547802474804,368.65441680191395,240.35487788208462,27.3076892172928,97.14420538441557,4,9.75
