uidp,mean_km,dist_mode,dist_mean,norm_mean,norm_sd,pk_am,inverse_income_with_pred,a,be,bl,sig,mu,idx,ha
L0422100656_08DF,2.9288561,3.491,3.4909999,-1.2963361,0.54159498,9.5,1.3592167,564.9309520318402,711.6726200852132,523.871062766006,22.835352849242316,13.11662657902473,1,7.833333333333333
L0422100656_08DF,2.9288561,3.491,3.4909999,-1.2963361,0.54159498,9.5,1.3592167,564.9309520318402,711.6726200852132,523.871062766006,22.835352849242316,13.11662657902473,1,8.166666666666666
L0422100656_08DF,2.9288561,3.491,3.4909999,-1.2963361,0.54159498,9.5,1.3592167,564.9309520318402,711.6726200852132,523.871062766006,22.835352849242316,13.11662657902473,1,8.25
L0422100656_08DF,2.9288561,3.491,3.4909999,-1.2963361,0.54159498,9.5,1.3592167,564.9309520318402,711.6726200852132,523.871062766006,22.835352849242316,13.11662657902473,1,8.583333333333334
L0422100656_08DF,2.9288561,3.491,3.4909999,-1.2963361,0.54159498,9.5,1.3592167,564.9309520318402,711.6726200852132,523.871062766006,22.835352849242316,13.11662657902473,1,8.416666666666666
L0422100656_08DF,2.9288561,3.491,3.4909999,-1.2963361,0.54159498,9.5,1.3592167,564.9309520318402,711.6726200852132,523.871062766006,22.835352849242316,13.11662657902473,1,9.25
L0422100656_08DF,2.9288561,3.491,3.4909999,-1.2963361,0.54159498,9.5,1.3592167,564.9309520318402,711.6726200852132,523.871062766006,22.835352849242316,13.11662657902473,1,8.583333333333334
L0422100656_08DF,2.9288561,3.491,3.4909999,-1.2963361,0.54159498,9.5,1.3592167,564.9309520318402,711.6726200852132,523.871062766006,22.835352849242316,13.11662657902473,1,9.333333333333334
L0422100656_08DF,2.9288561,3.491,3.4909999,-1.2963361,0.54159498,9.5,1.3592167,564.9309520318402,711.6726200852132,523.871062766006,22.835352849242316,13.11662657902473,1,8.916666666666666
L0422100656_08DF,2.9288561,3.491,3.4909999,-1.2963361,0.54159498,9.5,1.3592167,564.9309520318402,711.6726200852132,523.871062766006,22.835352849242316,13.11662657902473,1,8.583333333333334
L0522121607_1755,7.0408559,7.185,7.1885209,-0.83372229,1.7499349,10.5,0.61782604,1242.8475568115844,1565.6790868714068,1152.5158395044398,54.895298146320535,31.531859020667866,2,9.166666666666666
L0522121607_1755,7.0408559,7.185,7.1885209,-0.83372229,1.7499349,10.5,0.61782604,1242.8475568115844,1565.6790868714068,1152.5158395044398,54.895298146320535,31.531859020667866,2,9.75
L0522121607_1755,7.0408559,7.185,7.1885209,-0.83372229,1.7499349,10.5,0.61782604,1242.8475568115844,1565.6790868714068,1152.5158395044398,54.895298146320535,31.531859020667866,2,11.333333333333334
L0522121607_1755,7.0408559,7.185,7.1885209,-0.83372229,1.7499349,10.5,0.61782604,1242.8475568115844,1565.6790868714068,1152.5158395044398,54.895298146320535,31.531859020667866,2,10.5
L0522121607_1755,7.0408559,7.185,7.1885209,-0.83372229,1.7499349,10.5,0.61782604,1242.8475568115844,1565.6790868714068,1152.5158395044398,54.895298146320535,31.531859020667866,2,8.916666666666666
L0522121607_1755,7.0408559,7.185,7.1885209,-0.83372229,1.7499349,10.5,0.61782604,1242.8475568115844,1565.6790868714068,1152.5158395044398,54.895298146320535,31.531859020667866,2,9.75
L0522121607_1755,7.0408559,7.185,7.1885209,-0.83372229,1.7499349,10.5,0.61782604,1242.8475568115844,1565.6790868714068,1152.5158395044398,54.895298146320535,31.531859020667866,2,9.416666666666666
L0522121607_1755,7.0408559,7.185,7.1885209,-0.83372229,1.7499349,10.5,0.61782604,1242.8475568115844,1565.6790868714068,1152.5158395044398,54.895298146320535,31.531859020667866,2,9.166666666666666
